src,tar,src_type,tar_type
div_opa_ldz_r1_reg\[0\],g43957,cell,cell
div_opa_ldz_r1_reg\[1\],g43958,cell,cell
div_opa_ldz_r1_reg\[2\],g43915,cell,cell
div_opa_ldz_r1_reg\[3\],g43914,cell,cell
div_opa_ldz_r1_reg\[4\],g43978,cell,cell
div_opa_ldz_r2_reg\[0\],g53250,cell,cell
div_opa_ldz_r2_reg\[0\],g52603__6417,cell,cell
div_opa_ldz_r2_reg\[0\],g43917,cell,cell
div_opa_ldz_r2_reg\[0\],g43913,cell,cell
div_opa_ldz_r2_reg\[0\],g42869,cell,cell
div_opa_ldz_r2_reg\[0\],g42865,cell,cell
div_opa_ldz_r2_reg\[1\],g53040__6417,cell,cell
div_opa_ldz_r2_reg\[1\],g52566__5477,cell,cell
div_opa_ldz_r2_reg\[1\],g43902,cell,cell
div_opa_ldz_r2_reg\[1\],g43901,cell,cell
div_opa_ldz_r2_reg\[1\],g42893,cell,cell
div_opa_ldz_r2_reg\[1\],g42892,cell,cell
div_opa_ldz_r2_reg\[1\],g42888,cell,cell
div_opa_ldz_r2_reg\[2\],g52970__1666,cell,cell
div_opa_ldz_r2_reg\[2\],g43896,cell,cell
div_opa_ldz_r2_reg\[2\],g43882,cell,cell
div_opa_ldz_r2_reg\[2\],g42916,cell,cell
div_opa_ldz_r2_reg\[3\],g52933__1666,cell,cell
div_opa_ldz_r2_reg\[3\],g52590__7482,cell,cell
div_opa_ldz_r2_reg\[3\],g43897,cell,cell
div_opa_ldz_r2_reg\[3\],g43885,cell,cell
div_opa_ldz_r2_reg\[3\],g42977,cell,cell
div_opa_ldz_r2_reg\[3\],g42976,cell,cell
div_opa_ldz_r2_reg\[3\],g42967,cell,cell
div_opa_ldz_r2_reg\[4\],g52899__2398,cell,cell
div_opa_ldz_r2_reg\[4\],g52610__4319,cell,cell
div_opa_ldz_r2_reg\[4\],g43962,cell,cell
div_opa_ldz_r2_reg\[4\],g43931,cell,cell
div_opa_ldz_r2_reg\[4\],g42979,cell,cell
div_opa_ldz_r2_reg\[4\],g42978,cell,cell
div_opa_ldz_r2_reg\[4\],g42930,cell,cell
u1_exp_dn_out_reg\[0\],g27581,cell,cell
u1_exp_dn_out_reg\[1\],g27583,cell,cell
u1_exp_dn_out_reg\[2\],g27586,cell,cell
u1_exp_dn_out_reg\[3\],g27580,cell,cell
u1_exp_dn_out_reg\[4\],g27579,cell,cell
u1_exp_dn_out_reg\[5\],g27582,cell,cell
u1_exp_dn_out_reg\[6\],g27585,cell,cell
u1_exp_dn_out_reg\[7\],g27584,cell,cell
u2_exp_out_reg\[0\],g53004__9945,cell,cell
u2_exp_out_reg\[0\],g27575,cell,cell
u2_exp_out_reg\[1\],g53004__9945,cell,cell
u2_exp_out_reg\[1\],g27577,cell,cell
u2_exp_out_reg\[2\],g53004__9945,cell,cell
u2_exp_out_reg\[2\],g27578,cell,cell
u2_exp_out_reg\[3\],g53004__9945,cell,cell
u2_exp_out_reg\[3\],g27573,cell,cell
u2_exp_out_reg\[4\],g53097__1666,cell,cell
u2_exp_out_reg\[4\],g27572,cell,cell
u2_exp_out_reg\[5\],g53097__1666,cell,cell
u2_exp_out_reg\[5\],g27571,cell,cell
u2_exp_out_reg\[6\],g53097__1666,cell,cell
u2_exp_out_reg\[6\],g27574,cell,cell
u2_exp_out_reg\[7\],g53097__1666,cell,cell
u2_exp_out_reg\[7\],g27576,cell,cell
u2_exp_ovf_reg\[0\],g43528,cell,cell
u2_exp_ovf_reg\[1\],g43551,cell,cell
exp_ovf_r_reg\[0\],g53079__1617,cell,cell
exp_ovf_r_reg\[0\],g53070__2398,cell,cell
exp_ovf_r_reg\[0\],g43505,cell,cell
exp_ovf_r_reg\[0\],g43480,cell,cell
exp_ovf_r_reg\[0\],g42742,cell,cell
exp_ovf_r_reg\[0\],g37341,cell,cell
exp_ovf_r_reg\[0\],g37303,cell,cell
exp_ovf_r_reg\[0\],g37107,cell,cell
exp_ovf_r_reg\[0\],g36924,cell,cell
exp_ovf_r_reg\[0\],g36872,cell,cell
exp_ovf_r_reg\[0\],g36782,cell,cell
exp_ovf_r_reg\[0\],g234882,cell,cell
exp_ovf_r_reg\[1\],g53249,cell,cell
exp_ovf_r_reg\[1\],g43546,cell,cell
exp_ovf_r_reg\[1\],g43537,cell,cell
exp_ovf_r_reg\[1\],g43480,cell,cell
exp_ovf_r_reg\[1\],g37303,cell,cell
exp_ovf_r_reg\[1\],g37293,cell,cell
exp_ovf_r_reg\[1\],g36987,cell,cell
exp_ovf_r_reg\[1\],g36981,cell,cell
exp_ovf_r_reg\[1\],g36924,cell,cell
exp_ovf_r_reg\[1\],g36782,cell,cell
exp_ovf_r_reg\[1\],g36759,cell,cell
exp_r_reg\[0\],u4_sll_315_50_g4442,cell,cell
exp_r_reg\[0\],u4_sll_315_50_g4431,cell,cell
exp_r_reg\[0\],u4_sll_315_50_g4429,cell,cell
exp_r_reg\[0\],g53286,cell,cell
exp_r_reg\[0\],g44671,cell,cell
exp_r_reg\[0\],g44500,cell,cell
exp_r_reg\[0\],g44074,cell,cell
exp_r_reg\[0\],g43898,cell,cell
exp_r_reg\[0\],g42870,cell,cell
exp_r_reg\[0\],g27581,cell,cell
exp_r_reg\[0\],drc_buf_sp234723,cell,cell
exp_r_reg\[1\],g53351,cell,cell
exp_r_reg\[1\],g53040__6417,cell,cell
exp_r_reg\[1\],g52566__5477,cell,cell
exp_r_reg\[1\],g44500,cell,cell
exp_r_reg\[1\],g44496,cell,cell
exp_r_reg\[1\],g42883,cell,cell
exp_r_reg\[1\],g36871,cell,cell
exp_r_reg\[1\],g36795,cell,cell
exp_r_reg\[1\],g27583,cell,cell
exp_r_reg\[2\],g53099__6417,cell,cell
exp_r_reg\[2\],g52970__1666,cell,cell
exp_r_reg\[2\],g52556__9315,cell,cell
exp_r_reg\[2\],g44669,cell,cell
exp_r_reg\[2\],g44496,cell,cell
exp_r_reg\[2\],g44244,cell,cell
exp_r_reg\[2\],g44112,cell,cell
exp_r_reg\[2\],g43883,cell,cell
exp_r_reg\[2\],g42905,cell,cell
exp_r_reg\[2\],g36871,cell,cell
exp_r_reg\[2\],g36841,cell,cell
exp_r_reg\[2\],g27586,cell,cell
exp_r_reg\[3\],g53105__8428,cell,cell
exp_r_reg\[3\],g52933__1666,cell,cell
exp_r_reg\[3\],g52596__9945,cell,cell
exp_r_reg\[3\],g44670,cell,cell
exp_r_reg\[3\],g44078,cell,cell
exp_r_reg\[3\],g44075,cell,cell
exp_r_reg\[3\],g44059,cell,cell
exp_r_reg\[3\],g44058,cell,cell
exp_r_reg\[3\],g44055,cell,cell
exp_r_reg\[3\],g43884,cell,cell
exp_r_reg\[3\],g42951,cell,cell
exp_r_reg\[3\],g37050,cell,cell
exp_r_reg\[3\],g36779,cell,cell
exp_r_reg\[3\],g3,cell,cell
exp_r_reg\[3\],g27580,cell,cell
exp_r_reg\[4\],g53209,cell,cell
exp_r_reg\[4\],g53105__8428,cell,cell
exp_r_reg\[4\],g52962__5115,cell,cell
exp_r_reg\[4\],g52899__2398,cell,cell
exp_r_reg\[4\],g52553__7482,cell,cell
exp_r_reg\[4\],g44585,cell,cell
exp_r_reg\[4\],g44498,cell,cell
exp_r_reg\[4\],g44239,cell,cell
exp_r_reg\[4\],g43933,cell,cell
exp_r_reg\[4\],g42953,cell,cell
exp_r_reg\[4\],g36784,cell,cell
exp_r_reg\[4\],g27579,cell,cell
exp_r_reg\[5\],g44676,cell,cell
exp_r_reg\[5\],g44498,cell,cell
exp_r_reg\[5\],g44006,cell,cell
exp_r_reg\[5\],g42954,cell,cell
exp_r_reg\[5\],g42944,cell,cell
exp_r_reg\[5\],g42933,cell,cell
exp_r_reg\[5\],g37050,cell,cell
exp_r_reg\[5\],g36842,cell,cell
exp_r_reg\[5\],g27582,cell,cell
exp_r_reg\[5\],g234596,cell,cell
exp_r_reg\[5\],drc_buf_sp234698,cell,cell
exp_r_reg\[6\],g52635__9945,cell,cell
exp_r_reg\[6\],g44583,cell,cell
exp_r_reg\[6\],g44239,cell,cell
exp_r_reg\[6\],g44010,cell,cell
exp_r_reg\[6\],g43984,cell,cell
exp_r_reg\[6\],g42959,cell,cell
exp_r_reg\[6\],g42933,cell,cell
exp_r_reg\[6\],g37114,cell,cell
exp_r_reg\[6\],g37050,cell,cell
exp_r_reg\[6\],g36790,cell,cell
exp_r_reg\[6\],g27585,cell,cell
exp_r_reg\[7\],g53100__5477,cell,cell
exp_r_reg\[7\],g52709__2346,cell,cell
exp_r_reg\[7\],g44586,cell,cell
exp_r_reg\[7\],g44007,cell,cell
exp_r_reg\[7\],g43984,cell,cell
exp_r_reg\[7\],g43983,cell,cell
exp_r_reg\[7\],g42939,cell,cell
exp_r_reg\[7\],g37107,cell,cell
exp_r_reg\[7\],g36908,cell,cell
exp_r_reg\[7\],g27584,cell,cell
exp_r_reg\[7\],g234596,cell,cell
u1_fasu_op_reg,u3_sub_52_45_Y_add_52_31_g948,cell,cell
u1_fasu_op_reg,u3_sub_52_45_Y_add_52_31_drc_bufs966,cell,cell
u1_fasu_op_reg,g27168,cell,cell
fasu_op_r1_reg,g53130,cell,cell
fasu_op_r2_reg,g37282,cell,cell
fpu_op_r1_reg\[0\],u1_add_r_reg,cell,cell
fpu_op_r1_reg\[0\],g44649,cell,cell
fpu_op_r1_reg\[0\],g44114,cell,cell
fpu_op_r1_reg\[0\],g35961__6417,cell,cell
fpu_op_r1_reg\[1\],g44114,cell,cell
fpu_op_r1_reg\[1\],g37345,cell,cell
fpu_op_r1_reg\[2\],g44309,cell,cell
fpu_op_r2_reg\[0\],g52922__1881,cell,cell
fpu_op_r2_reg\[0\],g44429,cell,cell
fpu_op_r2_reg\[0\],g44113,cell,cell
fpu_op_r2_reg\[1\],g53190,cell,cell
fpu_op_r2_reg\[1\],g44574,cell,cell
fpu_op_r2_reg\[1\],g43312,cell,cell
fpu_op_r2_reg\[1\],g27588,cell,cell
fpu_op_r2_reg\[1\],g27587,cell,cell
fpu_op_r2_reg\[2\],g44648,cell,cell
fpu_op_r2_reg\[2\],g44113,cell,cell
fpu_op_r2_reg\[2\],g27588,cell,cell
fpu_op_r3_reg\[0\],g44846,cell,cell
fpu_op_r3_reg\[0\],g44077,cell,cell
fpu_op_r3_reg\[0\],g44071,cell,cell
fpu_op_r3_reg\[0\],g44060,cell,cell
fpu_op_r3_reg\[1\],g44847,cell,cell
fpu_op_r3_reg\[1\],g44310,cell,cell
fpu_op_r3_reg\[1\],g44249,cell,cell
fpu_op_r3_reg\[1\],g44060,cell,cell
fpu_op_r3_reg\[1\],g36618,cell,cell
fpu_op_r3_reg\[2\],g44847,cell,cell
fpu_op_r3_reg\[2\],g44846,cell,cell
fpu_op_r3_reg\[2\],g44311,cell,cell
fpu_op_r3_reg\[2\],g44080,cell,cell
fpu_op_r3_reg\[2\],g36873,cell,cell
fpu_op_r3_reg\[2\],g36610,cell,cell
fract_denorm_reg\[0\],u4_sll_315_50_g4452,cell,cell
fract_denorm_reg\[0\],u4_sll_315_50_g4451,cell,cell
fract_denorm_reg\[0\],g52753__2883,cell,cell
fract_denorm_reg\[0\],g52417__5115,cell,cell
fract_denorm_reg\[0\],g52361__8428,cell,cell
fract_denorm_reg\[0\],g52310__5122,cell,cell
fract_denorm_reg\[0\],g43001,cell,cell
fract_denorm_reg\[10\],u4_sll_315_50_g4425,cell,cell
fract_denorm_reg\[10\],u4_sll_315_50_g4417,cell,cell
fract_denorm_reg\[10\],g53302,cell,cell
fract_denorm_reg\[10\],g53103__6260,cell,cell
fract_denorm_reg\[10\],g52785__7410,cell,cell
fract_denorm_reg\[10\],g52755__1666,cell,cell
fract_denorm_reg\[10\],g52337__2802,cell,cell
fract_denorm_reg\[10\],g52278__7482,cell,cell
fract_denorm_reg\[10\],g52276__1881,cell,cell
fract_denorm_reg\[10\],g43025,cell,cell
fract_denorm_reg\[10\],g42993,cell,cell
fract_denorm_reg\[10\],g42975,cell,cell
fract_denorm_reg\[11\],u4_sll_315_50_g4426,cell,cell
fract_denorm_reg\[11\],u4_sll_315_50_g4417,cell,cell
fract_denorm_reg\[11\],g52726__6260,cell,cell
fract_denorm_reg\[11\],g52337__2802,cell,cell
fract_denorm_reg\[11\],g52317__7482,cell,cell
fract_denorm_reg\[11\],g52278__7482,cell,cell
fract_denorm_reg\[11\],g43100,cell,cell
fract_denorm_reg\[11\],g43085,cell,cell
fract_denorm_reg\[11\],g43025,cell,cell
fract_denorm_reg\[12\],u4_sll_315_50_g4426,cell,cell
fract_denorm_reg\[12\],u4_sll_315_50_g4424,cell,cell
fract_denorm_reg\[12\],g53292,cell,cell
fract_denorm_reg\[12\],g52317__7482,cell,cell
fract_denorm_reg\[12\],g52315__1881,cell,cell
fract_denorm_reg\[12\],g43085,cell,cell
fract_denorm_reg\[12\],g43025,cell,cell
fract_denorm_reg\[12\],g42975,cell,cell
fract_denorm_reg\[13\],u4_sll_315_50_g4424,cell,cell
fract_denorm_reg\[13\],u4_sll_315_50_g4414,cell,cell
fract_denorm_reg\[13\],g53300,cell,cell
fract_denorm_reg\[13\],g52789__5107,cell,cell
fract_denorm_reg\[13\],g52726__6260,cell,cell
fract_denorm_reg\[13\],g52638__1666,cell,cell
fract_denorm_reg\[13\],g52315__1881,cell,cell
fract_denorm_reg\[13\],g52270__2802,cell,cell
fract_denorm_reg\[13\],g43088,cell,cell
fract_denorm_reg\[13\],g42941,cell,cell
