src,tar,src_type,tar_type
clk,div_by_zero_reg,net,cell
n_259,div_by_zero_reg,net,cell
div_by_zero_reg,div_by_zero,cell,net
clk,div_opa_ldz_r1_reg\[0\],net,cell
n_1071,div_opa_ldz_r1_reg\[0\],net,cell
div_opa_ldz_r1_reg\[0\],div_opa_ldz_r1[0],cell,net
clk,div_opa_ldz_r1_reg\[1\],net,cell
n_1072,div_opa_ldz_r1_reg\[1\],net,cell
div_opa_ldz_r1_reg\[1\],div_opa_ldz_r1[1],cell,net
clk,div_opa_ldz_r1_reg\[2\],net,cell
n_1079,div_opa_ldz_r1_reg\[2\],net,cell
div_opa_ldz_r1_reg\[2\],div_opa_ldz_r1[2],cell,net
clk,div_opa_ldz_r1_reg\[3\],net,cell
n_1075,div_opa_ldz_r1_reg\[3\],net,cell
div_opa_ldz_r1_reg\[3\],div_opa_ldz_r1[3],cell,net
clk,div_opa_ldz_r1_reg\[4\],net,cell
n_1058,div_opa_ldz_r1_reg\[4\],net,cell
div_opa_ldz_r1_reg\[4\],div_opa_ldz_r1[4],cell,net
clk,div_opa_ldz_r2_reg\[0\],net,cell
n_1087,div_opa_ldz_r2_reg\[0\],net,cell
div_opa_ldz_r2_reg\[0\],div_opa_ldz_r2[0],cell,net
clk,div_opa_ldz_r2_reg\[1\],net,cell
n_1086,div_opa_ldz_r2_reg\[1\],net,cell
div_opa_ldz_r2_reg\[1\],div_opa_ldz_r2[1],cell,net
clk,div_opa_ldz_r2_reg\[2\],net,cell
n_1120,div_opa_ldz_r2_reg\[2\],net,cell
div_opa_ldz_r2_reg\[2\],div_opa_ldz_r2[2],cell,net
clk,div_opa_ldz_r2_reg\[3\],net,cell
n_1121,div_opa_ldz_r2_reg\[3\],net,cell
div_opa_ldz_r2_reg\[3\],div_opa_ldz_r2[3],cell,net
clk,div_opa_ldz_r2_reg\[4\],net,cell
n_1074,div_opa_ldz_r2_reg\[4\],net,cell
div_opa_ldz_r2_reg\[4\],div_opa_ldz_r2[4],cell,net
fracta_mul[23],drc_buf_sp234637,net,cell
drc_buf_sp234637,n_13883,cell,net
fracta_mul[23],drc_buf_sp234638,net,cell
drc_buf_sp234638,n_13884,cell,net
n_13919,drc_buf_sp234673,net,cell
drc_buf_sp234673,n_13920,cell,net
u4_n_1362,drc_buf_sp234674,net,cell
drc_buf_sp234674,n_13919,cell,net
exp_r[5],drc_buf_sp234698,net,cell
drc_buf_sp234698,n_13946,cell,net
