cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
div_by_zero_reg,1,0,0,0,0,1080,270,0,0,0,DFFHQNx1_ASAP7_75t_R,2.1145149520229722e-10,3.501912999581691e-07
div_opa_ldz_r1_reg\[0\],1,0,0,0,0,1080,270,0,0,0,DFFHQNx1_ASAP7_75t_R,2.2896934348537457e-10,3.7309987988010107e-07
div_opa_ldz_r1_reg\[1\],1,0,0,0,0,1080,270,0,0,0,DFFHQNx1_ASAP7_75t_R,2.292524919900174e-10,3.6231665490049636e-07
div_opa_ldz_r1_reg\[2\],1,0,0,0,0,1080,270,0,0,0,DFFHQNx1_ASAP7_75t_R,2.267136617328802e-10,3.6924762980561354e-07
div_opa_ldz_r1_reg\[3\],1,0,0,0,0,1080,270,0,0,0,DFFHQNx1_ASAP7_75t_R,2.1196086552599525e-10,3.5425622968432435e-07
div_opa_ldz_r1_reg\[4\],1,0,0,0,0,1080,270,0,0,0,DFFHQNx1_ASAP7_75t_R,2.1145352135931716e-10,3.502257754917082e-07
div_opa_ldz_r2_reg\[0\],1,0,0,0,0,1080,270,0,0,0,DFFHQNx1_ASAP7_75t_R,2.2896934348537457e-10,3.908161829713208e-07
div_opa_ldz_r2_reg\[1\],1,0,0,0,0,1080,270,0,0,0,DFFHQNx1_ASAP7_75t_R,2.292524919900174e-10,3.8927595369386836e-07
div_opa_ldz_r2_reg\[2\],1,0,0,0,0,1080,270,0,0,0,DFFHQNx1_ASAP7_75t_R,2.267136617328802e-10,3.8624102671747096e-07
div_opa_ldz_r2_reg\[3\],1,0,0,0,0,1080,270,0,0,0,DFFHQNx1_ASAP7_75t_R,2.1196086552599525e-10,3.5697988209903997e-07
div_opa_ldz_r2_reg\[4\],1,0,0,0,0,1080,270,0,0,0,DFFHQNx1_ASAP7_75t_R,2.1145352135931716e-10,3.50249734992758e-07
drc_buf_sp234637,0,0,0,0,0,216,270,0,1,0,HB1xp67_ASAP7_75t_R,5.1482203916597413e-11,3.0986626597950817e-09
