net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
UNCONNECTED,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED0,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED10,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED100,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED101,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED102,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED103,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED104,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED105,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED106,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED107,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED108,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED109,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED11,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED110,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED111,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED112,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED113,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED114,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED115,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED116,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED117,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED118,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED119,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED12,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED120,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED121,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED122,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED123,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED124,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED125,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED126,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED127,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED128,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED129,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED13,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED130,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED131,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED132,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED133,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED134,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED135,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED136,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED137,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED138,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED139,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED14,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED140,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED141,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED142,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED143,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED144,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED145,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED146,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED147,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED148,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED149,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED15,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED150,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED151,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED152,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED153,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED154,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED155,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED156,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED157,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED158,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED159,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED16,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED160,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED161,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED162,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED163,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED164,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED165,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED166,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED167,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED168,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED169,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED17,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED170,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED171,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED172,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED173,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED174,0,-1,0,0.0,0.0,0.0,0.0
