src,tar,src_type,tar_type,is_net,arc_delay
drc_buf_sp234637/A,drc_buf_sp234637/Y,pin,pin,0,6.7311188e-11
drc_buf_sp234638/A,drc_buf_sp234638/Y,pin,pin,0,4.7903027e-11
drc_buf_sp234673/A,drc_buf_sp234673/Y,pin,pin,0,6.0052032e-11
drc_buf_sp234674/A,drc_buf_sp234674/Y,pin,pin,0,5.676693e-11
drc_buf_sp234698/A,drc_buf_sp234698/Y,pin,pin,0,5.1300460999999995e-11
drc_buf_sp234723/A,drc_buf_sp234723/Y,pin,pin,0,4.6558846000000005e-11
drc_buf_sp234731/A,drc_buf_sp234731/Y,pin,pin,0,6.6202133e-11
drc_bufs36417/A,drc_bufs36417/Y,pin,pin,0,1.9574493e-11
drc_bufs36418/A,drc_bufs36418/Y,pin,pin,0,2.2927505e-11
drc_bufs37394/A,drc_bufs37394/Y,pin,pin,0,9.3224892e-11
drc_bufs37395/A,drc_bufs37395/Y,pin,pin,0,9.3224892e-11
drc_bufs37396/A,drc_bufs37396/Y,pin,pin,0,1.1163957999999999e-10
drc_bufs37407/A,drc_bufs37407/Y,pin,pin,0,9.6635826e-11
drc_bufs37415/A,drc_bufs37415/Y,pin,pin,0,1.02967834e-10
drc_bufs37423/A,drc_bufs37423/Y,pin,pin,0,6.3103508e-11
drc_bufs37424/A,drc_bufs37424/Y,pin,pin,0,1.4869790999999998e-11
drc_bufs37431/A,drc_bufs37431/Y,pin,pin,0,7.7665611e-11
drc_bufs37432/A,drc_bufs37432/Y,pin,pin,0,4.3566715e-11
drc_bufs37439/A,drc_bufs37439/Y,pin,pin,0,8.3566956e-11
drc_bufs37440/A,drc_bufs37440/Y,pin,pin,0,4.3443737e-11
drc_bufs37447/A,drc_bufs37447/Y,pin,pin,0,9.3226486e-11
drc_bufs44686/A,drc_bufs44686/Y,pin,pin,0,9.715401499999999e-11
drc_bufs44687/A,drc_bufs44687/Y,pin,pin,0,9.772450999999999e-11
drc_bufs44688/A,drc_bufs44688/Y,pin,pin,0,9.137358899999999e-11
drc_bufs44689/A,drc_bufs44689/Y,pin,pin,0,6.894882200000001e-11
drc_bufs44699/A,drc_bufs44699/Y,pin,pin,0,8.5121086e-11
drc_bufs44700/A,drc_bufs44700/Y,pin,pin,0,8.6365623e-11
drc_bufs44701/A,drc_bufs44701/Y,pin,pin,0,8.693952899999999e-11
drc_bufs44702/A,drc_bufs44702/Y,pin,pin,0,2.3034723e-11
drc_bufs44711/A,drc_bufs44711/Y,pin,pin,0,8.7544388e-11
drc_bufs44712/A,drc_bufs44712/Y,pin,pin,0,9.0468422e-11
drc_bufs44713/A,drc_bufs44713/Y,pin,pin,0,8.329485300000001e-11
drc_bufs44714/A,drc_bufs44714/Y,pin,pin,0,8.7925369e-11
drc_bufs44721/A,drc_bufs44721/Y,pin,pin,0,7.8669449e-11
drc_bufs44722/A,drc_bufs44722/Y,pin,pin,0,8.2793373e-11
drc_bufs44728/A,drc_bufs44728/Y,pin,pin,0,8.8686584e-11
drc_bufs44729/A,drc_bufs44729/Y,pin,pin,0,3.357896e-11
drc_bufs44735/A,drc_bufs44735/Y,pin,pin,0,8.6490425e-11
drc_bufs44736/A,drc_bufs44736/Y,pin,pin,0,3.3228535e-11
drc_bufs44743/A,drc_bufs44743/Y,pin,pin,0,1.14848526e-10
drc_bufs44750/A,drc_bufs44750/Y,pin,pin,0,1.12132317e-10
drc_bufs44755/A,drc_bufs44755/Y,pin,pin,0,8.3332222e-11
drc_bufs44756/A,drc_bufs44756/Y,pin,pin,0,8.2852249e-11
drc_bufs44763/A,drc_bufs44763/Y,pin,pin,0,8.9164253e-11
drc_bufs44764/A,drc_bufs44764/Y,pin,pin,0,3.1361431e-11
drc_bufs44769/A,drc_bufs44769/Y,pin,pin,0,8.089767500000001e-11
drc_bufs44770/A,drc_bufs44770/Y,pin,pin,0,1.11949066e-10
drc_bufs44771/A,drc_bufs44771/Y,pin,pin,0,1.10208321e-10
drc_bufs44777/A,drc_bufs44777/Y,pin,pin,0,8.3133293e-11
drc_bufs44778/A,drc_bufs44778/Y,pin,pin,0,2.8584005e-11
drc_bufs44784/A,drc_bufs44784/Y,pin,pin,0,5.5516491e-11
drc_bufs44785/A,drc_bufs44785/Y,pin,pin,0,7.4693794e-11
drc_bufs44791/A,drc_bufs44791/Y,pin,pin,0,7.927025600000001e-11
drc_bufs44792/A,drc_bufs44792/Y,pin,pin,0,3.7323021e-11
drc_bufs44798/A,drc_bufs44798/Y,pin,pin,0,6.996953600000001e-11
drc_bufs44799/A,drc_bufs44799/Y,pin,pin,0,4.9887497000000004e-11
drc_bufs44805/A,drc_bufs44805/Y,pin,pin,0,1.10340599e-10
drc_bufs44811/A,drc_bufs44811/Y,pin,pin,0,9.9629837e-11
drc_bufs44813/A,drc_bufs44813/Y,pin,pin,0,9.8757904e-11
drc_bufs44829/A,drc_bufs44829/Y,pin,pin,0,4.4783413000000005e-11
drc_bufs44835/A,drc_bufs44835/Y,pin,pin,0,4.7772488e-11
drc_bufs53377/A,drc_bufs53377/Y,pin,pin,0,9.216395599999999e-11
drc_bufs53378/A,drc_bufs53378/Y,pin,pin,0,7.119263499999999e-11
drc_bufs53383/A,drc_bufs53383/Y,pin,pin,0,9.246093e-11
drc_bufs53384/A,drc_bufs53384/Y,pin,pin,0,9.851225299999999e-11
drc_bufs53391/A,drc_bufs53391/Y,pin,pin,0,9.2668571e-11
drc_bufs53392/A,drc_bufs53392/Y,pin,pin,0,1.13010612e-10
drc_bufs53398/A,drc_bufs53398/Y,pin,pin,0,6.5066055e-11
drc_bufs53399/A,drc_bufs53399/Y,pin,pin,0,2.6924679000000002e-11
drc_bufs53405/A,drc_bufs53405/Y,pin,pin,0,8.5344742e-11
drc_bufs53418/A,drc_bufs53418/Y,pin,pin,0,6.735011299999999e-11
drc_bufs53470/A,drc_bufs53470/Y,pin,pin,0,4.514455e-11
g100/A,g100/Y,pin,pin,0,1.1878892e-11
g106/A,g106/Y,pin,pin,0,1.1878892e-11
g110/A,g110/Y,pin,pin,0,1.1878892e-11
g112/A,g112/Y,pin,pin,0,1.1878892e-11
g116/A,g116/Y,pin,pin,0,1.1878892e-11
g120/A,g120/Y,pin,pin,0,1.1878892e-11
g122/A,g122/Y,pin,pin,0,1.1878892e-11
g124/A,g124/Y,pin,pin,0,1.1878892e-11
g128/A,g128/Y,pin,pin,0,1.1878892e-11
g132/A,g132/Y,pin,pin,0,1.1878892e-11
g134/A,g134/Y,pin,pin,0,1.1878892e-11
g138/A,g138/Y,pin,pin,0,1.1878892e-11
g142/A,g142/Y,pin,pin,0,1.1878892e-11
g144/A,g144/Y,pin,pin,0,1.1878892e-11
g146/A,g146/Y,pin,pin,0,1.1878892e-11
g148/A,g148/Y,pin,pin,0,1.2003427999999999e-11
g15/A,g15/Y,pin,pin,0,4.6808525e-11
g152/A,g152/Y,pin,pin,0,1.4171168e-11
g156/A,g156/Y,pin,pin,0,1.1878892e-11
g158/A,g158/Y,pin,pin,0,1.5109105e-11
g16/A,g16/Y,pin,pin,0,4.6808525e-11
g165/A,g165/Y,pin,pin,0,1.1878892e-11
g167/A,g167/Y,pin,pin,0,1.1878892e-11
g17/A,g17/Y,pin,pin,0,4.6808525e-11
g175/A,g175/Y,pin,pin,0,1.1878892e-11
g18/A,g18/Y,pin,pin,0,4.6808525e-11
g183/A,g183/Y,pin,pin,0,1.3372536999999999e-11
g184/A,g184/Y,pin,pin,0,4.5797317999999996e-11
g185/A,g185/Y,pin,pin,0,1.5416852e-11
g187/A,g187/Y,pin,pin,0,4.4632751e-11
g188/A,g188/Y,pin,pin,0,4.4632751e-11
g189/A,g189/Y,pin,pin,0,4.5797317999999996e-11
g19/A,g19/Y,pin,pin,0,4.6808525e-11
g190/A,g190/Y,pin,pin,0,4.4632751e-11
g191/A,g191/Y,pin,pin,0,4.6808525e-11
g192/A,g192/Y,pin,pin,0,4.6808525e-11
g193/A,g193/Y,pin,pin,0,4.5797317999999996e-11
g194/A,g194/Y,pin,pin,0,4.6808525e-11
g195/A,g195/Y,pin,pin,0,4.5797317999999996e-11
g196/A,g196/Y,pin,pin,0,4.5797317999999996e-11
g197/A,g197/Y,pin,pin,0,4.5797317999999996e-11
g198/A,g198/Y,pin,pin,0,4.6808525e-11
g199/A,g199/Y,pin,pin,0,4.4632751e-11
g2/A1,g2/Y,pin,pin,0,1.300577e-11
g2/A2,g2/Y,pin,pin,0,1.5679104e-11
g2/B,g2/Y,pin,pin,0,9.33921e-12
g2/C,g2/Y,pin,pin,0,9.142764e-12
g20/A,g20/Y,pin,pin,0,4.6808525e-11
g200/A,g200/Y,pin,pin,0,4.4632751e-11
g201/A,g201/Y,pin,pin,0,4.5797317999999996e-11
g202/A,g202/Y,pin,pin,0,4.4632751e-11
g203/A,g203/Y,pin,pin,0,4.4632751e-11
g204/A,g204/Y,pin,pin,0,4.4632751e-11
g205/A,g205/Y,pin,pin,0,4.5797317999999996e-11
g206/A,g206/Y,pin,pin,0,4.4632751e-11
g207/A,g207/Y,pin,pin,0,4.6808525e-11
g208/A,g208/Y,pin,pin,0,4.5797317999999996e-11
g209/A,g209/Y,pin,pin,0,4.5797317999999996e-11
g21/A,g21/Y,pin,pin,0,4.6808525e-11
g210/A,g210/Y,pin,pin,0,4.5797317999999996e-11
g211/A,g211/Y,pin,pin,0,4.6808525e-11
g212/A,g212/Y,pin,pin,0,4.6808525e-11
g213/A,g213/Y,pin,pin,0,4.6816677e-11
g214/A,g214/Y,pin,pin,0,4.6816677e-11
g215/A,g215/Y,pin,pin,0,4.5797317999999996e-11
g216/A,g216/Y,pin,pin,0,4.5797317999999996e-11
g217/A,g217/Y,pin,pin,0,4.4632751e-11
g218/A,g218/Y,pin,pin,0,4.5797317999999996e-11
g219/A,g219/Y,pin,pin,0,4.6808525e-11
g220/A,g220/Y,pin,pin,0,4.5797317999999996e-11
g221/A,g221/Y,pin,pin,0,4.4632751e-11
g222/A,g222/Y,pin,pin,0,4.6808525e-11
g223/A,g223/Y,pin,pin,0,4.4632751e-11
g224/A,g224/Y,pin,pin,0,4.5797317999999996e-11
g234590/A,g234590/Y,pin,pin,0,3.8709988e-11
g234591/A1,g234591/Y,pin,pin,0,1.4732714e-11
g234591/A2,g234591/Y,pin,pin,0,1.8055847e-11
g234591/B,g234591/Y,pin,pin,0,9.310458e-12
g234591/C,g234591/Y,pin,pin,0,9.805346e-12
g234592/A1,g234592/Y,pin,pin,0,1.1641579999999999e-11
g234592/A2,g234592/Y,pin,pin,0,1.3351772999999999e-11
g234592/B,g234592/Y,pin,pin,0,9.865454e-12
g234593/A1,g234593/Y,pin,pin,0,1.5531856e-11
g234593/A2,g234593/Y,pin,pin,0,1.6749405e-11
g234593/B,g234593/Y,pin,pin,0,1.2879501e-11
g234594/A,g234594/Y,pin,pin,0,2.9085691e-11
g234594/B,g234594/Y,pin,pin,0,2.8888096e-11
g234595/A,g234595/Y,pin,pin,0,2.0070768000000002e-11
g234595/B,g234595/Y,pin,pin,0,2.0923006e-11
g234596/A,g234596/Y,pin,pin,0,1.9682411e-11
g234596/B,g234596/Y,pin,pin,0,1.7306498e-11
g234596/C,g234596/Y,pin,pin,0,2.367432e-11
g234597/A,g234597/Y,pin,pin,0,1.7307003e-11
g234597/B,g234597/Y,pin,pin,0,2.4996683e-11
g234598/A1,g234598/Y,pin,pin,0,1.8449545e-11
g234598/A2,g234598/Y,pin,pin,0,1.8605902e-11
g234598/B,g234598/Y,pin,pin,0,2.1250202e-11
g234599/A1,g234599/Y,pin,pin,0,2.3665226e-11
g234599/A2,g234599/Y,pin,pin,0,2.6034267e-11
g234599/B,g234599/Y,pin,pin,0,1.7983595e-11
g234600/A,g234600/Y,pin,pin,0,2.5085501e-11
g234600/B,g234600/Y,pin,pin,0,1.8728821e-11
g234601/A,g234601/Y,pin,pin,0,1.9913084000000002e-11
g234601/B,g234601/Y,pin,pin,0,2.0791171999999998e-11
g234601/C,g234601/Y,pin,pin,0,1.3540406000000001e-11
g234602/A1,g234602/Y,pin,pin,0,3.2322075e-11
g234602/A2,g234602/Y,pin,pin,0,3.3862231999999996e-11
g234602/B,g234602/Y,pin,pin,0,2.8955189e-11
g234603/A,g234603/Y,pin,pin,0,1.6110548e-11
g234603/B,g234603/Y,pin,pin,0,1.5717088999999998e-11
g234603/C,g234603/Y,pin,pin,0,1.5239308e-11
g234603/D,g234603/Y,pin,pin,0,2.361948e-11
g234604/A1,g234604/Y,pin,pin,0,1.3192526000000001e-11
g234604/A2,g234604/Y,pin,pin,0,1.3163664999999999e-11
g234604/B,g234604/Y,pin,pin,0,9.707264e-12
g234605/A,g234605/Y,pin,pin,0,1.6327501000000002e-11
g234605/B,g234605/Y,pin,pin,0,2.0944387e-11
g234605/C,g234605/Y,pin,pin,0,1.7172995e-11
g234606/A1,g234606/Y,pin,pin,0,1.5943238e-11
g234606/A2,g234606/Y,pin,pin,0,1.6218064999999998e-11
g234606/B,g234606/Y,pin,pin,0,1.6536784999999997e-11
g234607/A,g234607/Y,pin,pin,0,2.1488918e-11
g234607/B,g234607/Y,pin,pin,0,2.4321291e-11
g234607/C,g234607/Y,pin,pin,0,2.0049997e-11
g234608/A1,g234608/Y,pin,pin,0,1.8166712e-11
g234608/A2,g234608/Y,pin,pin,0,1.8151652999999998e-11
g234608/B,g234608/Y,pin,pin,0,1.8533178e-11
g234611/A,g234611/Y,pin,pin,0,2.4998394e-11
g234611/B,g234611/Y,pin,pin,0,3.1320044e-11
g234611/C,g234611/Y,pin,pin,0,2.9066601e-11
g234612/A,g234612/Y,pin,pin,0,3.0406761e-11
g234612/B,g234612/Y,pin,pin,0,2.3610672e-11
g234613/A,g234613/Y,pin,pin,0,2.1122265e-11
g234613/B,g234613/Y,pin,pin,0,3.1634724e-11
g234613/C,g234613/Y,pin,pin,0,2.1491867e-11
g234614/A,g234614/Y,pin,pin,0,9.427766e-12
g234614/B,g234614/Y,pin,pin,0,8.175979e-12
g234615/A,g234615/Y,pin,pin,0,1.9605846e-11
g234615/B,g234615/Y,pin,pin,0,3.1229637e-11
g234615/C,g234615/Y,pin,pin,0,2.0723846e-11
g234616/A,g234616/Y,pin,pin,0,2.0360479e-11
g234616/B,g234616/Y,pin,pin,0,1.4899866e-11
g234617/A1,g234617/Y,pin,pin,0,1.849542e-11
g234617/A2,g234617/Y,pin,pin,0,1.9381364999999998e-11
g234617/B,g234617/Y,pin,pin,0,1.8684862e-11
g234618/A,g234618/Y,pin,pin,0,2.0537127999999997e-11
g234618/B,g234618/Y,pin,pin,0,2.2913353000000002e-11
g234619/A,g234619/Y,pin,pin,0,3.0685677e-11
g234619/B,g234619/Y,pin,pin,0,2.6414377000000002e-11
g234620/A,g234620/Y,pin,pin,0,2.9282756999999997e-11
g234620/B,g234620/Y,pin,pin,0,1.6818977e-11
g234621/A,g234621/Y,pin,pin,0,2.4601019e-11
g234621/B,g234621/Y,pin,pin,0,2.3719313e-11
g234622/A1,g234622/Y,pin,pin,0,2.2142281e-11
g234622/A2,g234622/Y,pin,pin,0,2.6215612e-11
g234622/B,g234622/Y,pin,pin,0,2.3104259e-11
g234623/A,g234623/Y,pin,pin,0,2.0119013e-11
g234623/B,g234623/Y,pin,pin,0,2.6646011e-11
g234623/C,g234623/Y,pin,pin,0,2.0752897e-11
g234624/A1,g234624/Y,pin,pin,0,1.4439158000000001e-11
g234624/A2,g234624/Y,pin,pin,0,2.021537e-11
g234624/B,g234624/Y,pin,pin,0,1.8429493e-11
g234780/A,g234780/Y,pin,pin,0,3.3452118e-11
g234780/B,g234780/Y,pin,pin,0,3.4718948e-11
g234882/A,g234882/Y,pin,pin,0,3.3091057e-11
g234882/B,g234882/Y,pin,pin,0,4.0611908e-11
g234883/A1,g234883/Y,pin,pin,0,2.6604441000000002e-11
g234883/A2,g234883/Y,pin,pin,0,3.0185362e-11
g234883/B,g234883/Y,pin,pin,0,2.6214691e-11
g234884/A1,g234884/Y,pin,pin,0,3.4090805e-11
g234884/A2,g234884/Y,pin,pin,0,3.8662193e-11
g234884/B,g234884/Y,pin,pin,0,3.6665508e-11
g234885/A,g234885/Y,pin,pin,0,2.312295e-11
g234885/B,g234885/Y,pin,pin,0,2.6469474999999998e-11
g234886/A,g234886/Y,pin,pin,0,2.1059688999999998e-11
g234886/B,g234886/Y,pin,pin,0,2.2115002e-11
g234887/A,g234887/Y,pin,pin,0,2.9309488e-11
g234887/B,g234887/Y,pin,pin,0,2.9854498e-11
g234888/A,g234888/Y,pin,pin,0,2.9983067999999997e-11
g234888/B,g234888/Y,pin,pin,0,2.4875955999999997e-11
g234892/A,g234892/Y,pin,pin,0,2.4905598e-11
g234892/B,g234892/Y,pin,pin,0,2.5177513e-11
g234893/A,g234893/Y,pin,pin,0,2.9594239999999996e-11
g234893/B,g234893/Y,pin,pin,0,2.599781e-11
