pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
div_by_zero_reg/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_by_zero_reg,clk,2.4533330922338337e-10,3.235018919411914e-09,0.0,1.8400000412199802e-09,4.747360265520257e-16
div_by_zero_reg/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_by_zero_reg,n_259,1.8074888807895206e-11,3.5269176468233354e-09,1.4464815456527447e-10,1.4353050692417213e-10,5.588219930775849e-16
div_by_zero_reg/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_by_zero_reg,div_by_zero,1.1042487237100662e-11,3.235018919411914e-09,7.698106735398724e-11,7.648773975299505e-11,-1
div_opa_ldz_r1_reg\[0\]/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r1_reg\[0\],clk,2.4533330922338337e-10,3.5772595996519385e-09,0.0,1.8400000412199802e-09,4.747360265520257e-16
div_opa_ldz_r1_reg\[0\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r1_reg\[0\],n_1071,3.010813820480962e-11,3.4376321789153508e-09,2.2732174476125522e-10,2.4686361288495107e-10,5.588219930775849e-16
div_opa_ldz_r1_reg\[0\]/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r1_reg\[0\],div_opa_ldz_r1[0],1.3685537078589327e-11,3.5772595996519385e-09,7.885277847341499e-11,7.848120764375466e-11,-1
div_opa_ldz_r1_reg\[1\]/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r1_reg\[1\],clk,2.4533330922338337e-10,3.5772595996519385e-09,0.0,1.8400000412199802e-09,4.747360265520257e-16
div_opa_ldz_r1_reg\[1\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r1_reg\[1\],n_1072,2.733943106625336e-11,3.4427594108876747e-09,2.2757493112202098e-10,2.3431093176817797e-10,5.588219930775849e-16
div_opa_ldz_r1_reg\[1\]/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r1_reg\[1\],div_opa_ldz_r1[1],1.3685537078589327e-11,3.5772595996519385e-09,7.885277847341499e-11,7.848120764375466e-11,-1
div_opa_ldz_r1_reg\[2\]/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r1_reg\[2\],clk,2.4533330922338337e-10,3.5772595996519385e-09,0.0,1.8400000412199802e-09,4.747360265520257e-16
div_opa_ldz_r1_reg\[2\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r1_reg\[2\],n_1079,2.8061839310589143e-11,3.4303464513385507e-09,2.3505114521427117e-10,2.5437302264563755e-10,5.588219930775849e-16
div_opa_ldz_r1_reg\[2\]/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r1_reg\[2\],div_opa_ldz_r1[2],1.3685537078589327e-11,3.5772595996519385e-09,7.885277847341499e-11,7.848120764375466e-11,-1
div_opa_ldz_r1_reg\[3\]/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r1_reg\[3\],clk,2.4533330922338337e-10,3.5772595996519385e-09,0.0,1.8400000412199802e-09,4.747360265520257e-16
div_opa_ldz_r1_reg\[3\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r1_reg\[3\],n_1075,1.597746934756117e-11,3.4177798369228185e-09,2.5477914222804543e-10,2.482860028685252e-10,5.588219930775849e-16
div_opa_ldz_r1_reg\[3\]/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r1_reg\[3\],div_opa_ldz_r1[3],1.3685537078589327e-11,3.5772595996519385e-09,7.885277847341499e-11,7.848120764375466e-11,-1
div_opa_ldz_r1_reg\[4\]/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r1_reg\[4\],clk,2.4533330922338337e-10,3.5772595996519385e-09,0.0,1.8400000412199802e-09,4.747360265520257e-16
div_opa_ldz_r1_reg\[4\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r1_reg\[4\],n_1058,1.4003391328454295e-11,3.4424336714522497e-09,2.310598240518047e-10,2.061340265147038e-10,5.588219930775849e-16
div_opa_ldz_r1_reg\[4\]/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r1_reg\[4\],div_opa_ldz_r1[4],1.3685537078589327e-11,3.5772595996519385e-09,7.885277847341499e-11,7.848120764375466e-11,-1
div_opa_ldz_r2_reg\[0\]/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r2_reg\[0\],clk,2.4533330922338337e-10,1.8616083674594108e-10,0.0,1.8400000412199802e-09,4.747360265520257e-16
div_opa_ldz_r2_reg\[0\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r2_reg\[0\],n_1087,1.9539321549633115e-11,3.5772595996519385e-09,9.361289521336857e-11,9.162120367944837e-11,5.588219930775849e-16
div_opa_ldz_r2_reg\[0\]/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r2_reg\[0\],div_opa_ldz_r2[0],3.0059930239412225e-11,1.8616083674594108e-10,9.010997503722251e-11,9.029113567926572e-11,-1
div_opa_ldz_r2_reg\[1\]/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r2_reg\[1\],clk,2.4533330922338337e-10,2.0020395063991003e-10,0.0,1.8400000412199802e-09,4.747360265520257e-16
div_opa_ldz_r2_reg\[1\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r2_reg\[1\],n_1086,1.9539321549633115e-11,3.5772595996519385e-09,9.361289521336857e-11,9.162120367944837e-11,5.588219930775849e-16
div_opa_ldz_r2_reg\[1\]/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r2_reg\[1\],div_opa_ldz_r2[1],4.025834179910426e-11,2.0020395063991003e-10,9.641733245135953e-11,9.686441926337608e-11,-1
div_opa_ldz_r2_reg\[2\]/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r2_reg\[2\],clk,2.4533330922338337e-10,2.150407629741835e-10,0.0,1.8400000412199802e-09,4.747360265520257e-16
div_opa_ldz_r2_reg\[2\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r2_reg\[2\],n_1120,1.9539321549633115e-11,3.5772595996519385e-09,9.361289521336857e-11,9.162120367944837e-11,5.588219930775849e-16
div_opa_ldz_r2_reg\[2\]/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r2_reg\[2\],div_opa_ldz_r2[2],3.018647831698473e-11,2.150407629741835e-10,9.019137520160925e-11,9.044878040986859e-11,-1
div_opa_ldz_r2_reg\[3\]/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r2_reg\[3\],clk,2.4533330922338337e-10,2.611464378077244e-10,0.0,1.8400000412199802e-09,4.747360265520257e-16
div_opa_ldz_r2_reg\[3\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r2_reg\[3\],n_1121,1.9539321549633115e-11,3.5772595996519385e-09,9.361289521336857e-11,9.162120367944837e-11,5.588219930775849e-16
div_opa_ldz_r2_reg\[3\]/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r2_reg\[3\],div_opa_ldz_r2[3],3.976530216220908e-11,2.611464378077244e-10,9.614083140707663e-11,9.655681809661587e-11,-1
div_opa_ldz_r2_reg\[4\]/CLK,97,135,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r2_reg\[4\],clk,2.4533330922338337e-10,3.0194541311701073e-10,0.0,1.8400000412199802e-09,4.747360265520257e-16
div_opa_ldz_r2_reg\[4\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r2_reg\[4\],n_1074,1.9539321549633115e-11,3.5772595996519385e-09,9.361289521336857e-11,9.162120367944837e-11,5.588219930775849e-16
div_opa_ldz_r2_reg\[4\]/QN,1042,135,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r2_reg\[4\],div_opa_ldz_r2[4],4.344308940362751e-11,3.0194541311701073e-10,9.820338292554354e-11,9.886545748738484e-11,-1
drc_buf_sp234637/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,drc_buf_sp234637,fracta_mul[23],6.541929498116161e-11,5.2449738996429573e-11,2.787872710463546e-10,3.04701014419706e-10,3.167060160250769e-16
drc_buf_sp234637/Y,178,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,1,drc_buf_sp234637,n_13883,8.888876440460436e-11,5.2449738996429573e-11,3.460984554504165e-10,3.674222037730601e-10,-1
drc_buf_sp234638/A,37,135,0,-1,0,0,0,0.0,3.199999987213431e-10,0,drc_buf_sp234638,fracta_mul[23],6.541929498116161e-11,3.657778802068634e-10,2.787872710463546e-10,3.04701014419706e-10,3.167060160250769e-16
drc_buf_sp234638/Y,178,135,0,-1,0,0,1,2.3040000896729085e-14,2.2699998825093104e-10,0,drc_buf_sp234638,n_13884,4.7296864341683786e-11,3.6577790796243903e-10,3.2669028593446114e-10,3.5173192136639386e-10,-1
