src,tar,src_type,tar_type
div_by_zero_reg/CLK,div_by_zero_reg,pin,cell
div_by_zero_reg/D,div_by_zero_reg,pin,cell
div_by_zero_reg,div_by_zero_reg/QN,cell,pin
div_opa_ldz_r1_reg\[0\]/CLK,div_opa_ldz_r1_reg\[0\],pin,cell
div_opa_ldz_r1_reg\[0\]/D,div_opa_ldz_r1_reg\[0\],pin,cell
div_opa_ldz_r1_reg\[0\],div_opa_ldz_r1_reg\[0\]/QN,cell,pin
div_opa_ldz_r1_reg\[1\]/CLK,div_opa_ldz_r1_reg\[1\],pin,cell
div_opa_ldz_r1_reg\[1\]/D,div_opa_ldz_r1_reg\[1\],pin,cell
div_opa_ldz_r1_reg\[1\],div_opa_ldz_r1_reg\[1\]/QN,cell,pin
div_opa_ldz_r1_reg\[2\]/CLK,div_opa_ldz_r1_reg\[2\],pin,cell
div_opa_ldz_r1_reg\[2\]/D,div_opa_ldz_r1_reg\[2\],pin,cell
div_opa_ldz_r1_reg\[2\],div_opa_ldz_r1_reg\[2\]/QN,cell,pin
div_opa_ldz_r1_reg\[3\]/CLK,div_opa_ldz_r1_reg\[3\],pin,cell
div_opa_ldz_r1_reg\[3\]/D,div_opa_ldz_r1_reg\[3\],pin,cell
div_opa_ldz_r1_reg\[3\],div_opa_ldz_r1_reg\[3\]/QN,cell,pin
div_opa_ldz_r1_reg\[4\]/CLK,div_opa_ldz_r1_reg\[4\],pin,cell
div_opa_ldz_r1_reg\[4\]/D,div_opa_ldz_r1_reg\[4\],pin,cell
div_opa_ldz_r1_reg\[4\],div_opa_ldz_r1_reg\[4\]/QN,cell,pin
div_opa_ldz_r2_reg\[0\]/CLK,div_opa_ldz_r2_reg\[0\],pin,cell
div_opa_ldz_r2_reg\[0\]/D,div_opa_ldz_r2_reg\[0\],pin,cell
div_opa_ldz_r2_reg\[0\],div_opa_ldz_r2_reg\[0\]/QN,cell,pin
div_opa_ldz_r2_reg\[1\]/CLK,div_opa_ldz_r2_reg\[1\],pin,cell
div_opa_ldz_r2_reg\[1\]/D,div_opa_ldz_r2_reg\[1\],pin,cell
div_opa_ldz_r2_reg\[1\],div_opa_ldz_r2_reg\[1\]/QN,cell,pin
div_opa_ldz_r2_reg\[2\]/CLK,div_opa_ldz_r2_reg\[2\],pin,cell
div_opa_ldz_r2_reg\[2\]/D,div_opa_ldz_r2_reg\[2\],pin,cell
div_opa_ldz_r2_reg\[2\],div_opa_ldz_r2_reg\[2\]/QN,cell,pin
div_opa_ldz_r2_reg\[3\]/CLK,div_opa_ldz_r2_reg\[3\],pin,cell
div_opa_ldz_r2_reg\[3\]/D,div_opa_ldz_r2_reg\[3\],pin,cell
