cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
div_by_zero_reg,1,0,1,35730,52308,36810,52578,0,0,0,DFFHQNx1_ASAP7_75t_R,2.1145149520229722e-10,3.560361392374034e-07
div_opa_ldz_r1_reg\[0\],1,0,1,36000,26658,37080,26928,0,0,0,DFFHQNx1_ASAP7_75t_R,2.2896934348537457e-10,4.907734023618104e-07
div_opa_ldz_r1_reg\[1\],1,0,1,40212,20448,41292,20718,0,0,0,DFFHQNx1_ASAP7_75t_R,2.292524919900174e-10,5.512941925189807e-07
div_opa_ldz_r1_reg\[2\],1,0,1,41022,20718,42102,20988,0,0,0,DFFHQNx1_ASAP7_75t_R,2.267136617328802e-10,5.633213504552259e-07
div_opa_ldz_r1_reg\[3\],1,0,1,41562,20448,42642,20718,0,0,0,DFFHQNx1_ASAP7_75t_R,2.1196086552599525e-10,5.717975568586553e-07
div_opa_ldz_r1_reg\[4\],1,0,1,40536,20178,41616,20448,0,0,0,DFFHQNx1_ASAP7_75t_R,2.1145352135931716e-10,5.670625569109689e-07
div_opa_ldz_r2_reg\[0\],1,0,1,42912,20718,43992,20988,0,0,0,DFFHQNx1_ASAP7_75t_R,2.2896934348537457e-10,6.09365088166669e-07
div_opa_ldz_r2_reg\[1\],1,0,1,41562,19908,42642,20178,0,0,0,DFFHQNx1_ASAP7_75t_R,2.292524919900174e-10,6.014954578859033e-07
div_opa_ldz_r2_reg\[2\],1,0,1,42372,20178,43452,20448,0,0,0,DFFHQNx1_ASAP7_75t_R,2.267136617328802e-10,5.996460572532669e-07
div_opa_ldz_r2_reg\[3\],1,0,1,42750,19908,43830,20178,0,0,0,DFFHQNx1_ASAP7_75t_R,2.1196086552599525e-10,5.7621230098448e-07
div_opa_ldz_r2_reg\[4\],1,0,1,41670,19638,42750,19908,0,0,0,DFFHQNx1_ASAP7_75t_R,2.1145352135931716e-10,5.67604843126901e-07
drc_buf_sp234637,0,0,0,28494,29898,28710,30168,0,1,0,HB1xp67_ASAP7_75t_R,5.1482203916597413e-11,6.613600778138107e-09
drc_buf_sp234638,0,0,0,18126,27468,18342,27738,0,1,0,HB1xp67_ASAP7_75t_R,5.1482203916597413e-11,4.34053459841266e-09
drc_buf_sp234673,0,0,0,43668,17208,43884,17478,0,1,0,HB1xp67_ASAP7_75t_R,4.0513373905648464e-11,4.3507117908347936e-08
drc_buf_sp234674,0,0,0,38484,16128,38700,16398,0,1,0,HB1xp67_ASAP7_75t_R,4.0513373905648464e-11,4.901382411048871e-08
drc_buf_sp234698,0,0,0,45180,15048,45396,15318,0,1,0,HB1xp67_ASAP7_75t_R,2.7000280483635564e-11,2.1094470525895304e-07
drc_buf_sp234723,0,0,0,47664,11538,47880,11808,0,1,0,HB1xp67_ASAP7_75t_R,2.707136251278719e-11,1.6369415334338555e-07
drc_buf_sp234731,0,0,0,31950,28548,32166,28818,0,1,0,HB1xp67_ASAP7_75t_R,4.0513373905648464e-11,3.4148946781442646e-08
drc_bufs36417,0,0,0,26550,28278,26766,28548,0,0,1,INVx2_ASAP7_75t_SL,1.0049385323895876e-08,4.305311662733402e-09
drc_bufs36418,0,0,0,26604,27468,26820,27738,0,0,1,INVx2_ASAP7_75t_L,1.0327491084538565e-09,3.483495270018011e-09
drc_bufs37394,0,0,0,25632,18828,25794,19098,0,0,1,INVxp33_ASAP7_75t_R,8.737652962276243e-12,9.974987591476747e-08
drc_bufs37395,0,0,0,26226,17478,26388,17748,0,0,1,INVxp33_ASAP7_75t_R,8.737652962276243e-12,8.556067143672408e-08
drc_bufs37396,0,0,0,26388,20448,26550,20718,0,0,1,INVxp33_ASAP7_75t_R,8.737652962276243e-12,1.1247683318060808e-07
drc_bufs37407,0,0,0,39024,16938,39186,17208,0,0,1,INVxp33_ASAP7_75t_R,1.5929221483523825e-11,1.788919234968489e-08
drc_bufs37415,0,0,0,26280,17748,26442,18018,0,0,1,INVxp33_ASAP7_75t_R,9.033343517650394e-12,1.1473960626062762e-07
drc_bufs37423,0,0,0,39456,13968,39618,14238,0,0,1,INVxp33_ASAP7_75t_R,1.656037286468237e-11,1.807952685339842e-07
drc_bufs37424,0,0,0,39996,13968,40158,14238,0,0,1,INVxp33_ASAP7_75t_R,1.5218416804518853e-11,1.9111528359871954e-08
drc_bufs37431,0,0,0,37566,15318,37728,15588,0,0,1,INVxp33_ASAP7_75t_R,1.4844042661721346e-11,7.45905168741956e-08
drc_bufs37432,0,0,0,37566,15588,37728,15858,0,0,1,INVxp33_ASAP7_75t_R,1.6149732592896093e-11,1.4846389007061589e-08
drc_bufs37439,0,0,0,39348,15318,39510,15588,0,0,1,INVxp33_ASAP7_75t_R,1.533225456318288e-11,1.9544573603980098e-07
drc_bufs37440,0,0,0,39510,15318,39672,15588,0,0,1,INVxp33_ASAP7_75t_R,1.668503703255997e-11,3.40708936619194e-08
drc_bufs37447,0,0,0,25254,19368,25416,19638,0,0,1,INVxp33_ASAP7_75t_R,9.033343517650394e-12,1.001382159415698e-07
drc_bufs44686,0,0,0,34758,16398,34920,16668,0,0,1,INVxp33_ASAP7_75t_R,1.0299025521298688e-11,5.698956329069915e-08
drc_bufs44687,0,0,0,34920,15318,35082,15588,0,0,1,INVxp33_ASAP7_75t_R,1.0299025521298688e-11,5.696433902357967e-08
drc_bufs44688,0,0,0,34704,15588,34866,15858,0,0,1,INVxp33_ASAP7_75t_R,1.0299025521298688e-11,6.368833993519729e-08
drc_bufs44689,0,0,0,38592,15858,38754,16128,0,0,1,INVxp33_ASAP7_75t_R,1.1021225598817352e-11,2.3478309074675963e-08
