src,tar,src_type,tar_type
clk,zero_reg/CLK,net,pin
clk,underflow_reg/CLK,net,pin
clk,underflow_fmul_r_reg\[2\]/CLK,net,pin
clk,underflow_fmul_r_reg\[1\]/CLK,net,pin
clk,underflow_fmul_r_reg\[0\]/CLK,net,pin
clk,u6_remainder_reg\[9\]/CLK,net,pin
clk,u6_remainder_reg\[8\]/CLK,net,pin
clk,u6_remainder_reg\[7\]/CLK,net,pin
clk,u6_remainder_reg\[6\]/CLK,net,pin
clk,u6_remainder_reg\[5\]/CLK,net,pin
clk,u6_remainder_reg\[4\]/CLK,net,pin
clk,u6_remainder_reg\[3\]/CLK,net,pin
clk,u6_remainder_reg\[2\]/CLK,net,pin
clk,u6_remainder_reg\[23\]/CLK,net,pin
clk,u6_remainder_reg\[22\]/CLK,net,pin
clk,u6_remainder_reg\[21\]/CLK,net,pin
clk,u6_remainder_reg\[20\]/CLK,net,pin
clk,u6_remainder_reg\[1\]/CLK,net,pin
clk,u6_remainder_reg\[19\]/CLK,net,pin
clk,u6_remainder_reg\[18\]/CLK,net,pin
clk,u6_remainder_reg\[17\]/CLK,net,pin
clk,u6_remainder_reg\[16\]/CLK,net,pin
clk,u6_remainder_reg\[15\]/CLK,net,pin
clk,u6_remainder_reg\[14\]/CLK,net,pin
clk,u6_remainder_reg\[13\]/CLK,net,pin
clk,u6_remainder_reg\[12\]/CLK,net,pin
clk,u6_remainder_reg\[11\]/CLK,net,pin
clk,u6_remainder_reg\[10\]/CLK,net,pin
clk,u6_remainder_reg\[0\]/CLK,net,pin
clk,u6_rem_reg\[9\]/CLK,net,pin
clk,u6_rem_reg\[8\]/CLK,net,pin
clk,u6_rem_reg\[7\]/CLK,net,pin
clk,u6_rem_reg\[6\]/CLK,net,pin
clk,u6_rem_reg\[5\]/CLK,net,pin
clk,u6_rem_reg\[4\]/CLK,net,pin
clk,u6_rem_reg\[3\]/CLK,net,pin
clk,u6_rem_reg\[2\]/CLK,net,pin
clk,u6_rem_reg\[23\]/CLK,net,pin
clk,u6_rem_reg\[22\]/CLK,net,pin
clk,u6_rem_reg\[21\]/CLK,net,pin
clk,u6_rem_reg\[20\]/CLK,net,pin
clk,u6_rem_reg\[1\]/CLK,net,pin
clk,u6_rem_reg\[19\]/CLK,net,pin
clk,u6_rem_reg\[18\]/CLK,net,pin
clk,u6_rem_reg\[17\]/CLK,net,pin
clk,u6_rem_reg\[16\]/CLK,net,pin
clk,u6_rem_reg\[15\]/CLK,net,pin
clk,u6_rem_reg\[14\]/CLK,net,pin
clk,u6_rem_reg\[13\]/CLK,net,pin
clk,u6_rem_reg\[12\]/CLK,net,pin
clk,u6_rem_reg\[11\]/CLK,net,pin
clk,u6_rem_reg\[10\]/CLK,net,pin
clk,u6_rem_reg\[0\]/CLK,net,pin
clk,u6_quo_reg\[9\]/CLK,net,pin
clk,u6_quo_reg\[8\]/CLK,net,pin
clk,u6_quo_reg\[7\]/CLK,net,pin
clk,u6_quo_reg\[6\]/CLK,net,pin
clk,u6_quo_reg\[5\]/CLK,net,pin
clk,u6_quo_reg\[4\]/CLK,net,pin
clk,u6_quo_reg\[49\]/CLK,net,pin
clk,u6_quo_reg\[48\]/CLK,net,pin
clk,u6_quo_reg\[47\]/CLK,net,pin
clk,u6_quo_reg\[46\]/CLK,net,pin
