src,tar,src_type,tar_type,is_net,arc_delay
drc_buf_sp234637/A,drc_buf_sp234637/Y,pin,pin,0,1.25841377e-10
drc_buf_sp234638/A,drc_buf_sp234638/Y,pin,pin,0,9.350631e-11
drc_buf_sp234673/A,drc_buf_sp234673/Y,pin,pin,0,8.1851669e-11
drc_buf_sp234674/A,drc_buf_sp234674/Y,pin,pin,0,7.7858727e-11
drc_buf_sp234698/A,drc_buf_sp234698/Y,pin,pin,0,6.3721973e-11
drc_buf_sp234723/A,drc_buf_sp234723/Y,pin,pin,0,7.144647999999999e-11
drc_buf_sp234731/A,drc_buf_sp234731/Y,pin,pin,0,8.0175728e-11
drc_bufs36417/A,drc_bufs36417/Y,pin,pin,0,2.4061308e-11
drc_bufs36418/A,drc_bufs36418/Y,pin,pin,0,2.7034294e-11
drc_bufs37394/A,drc_bufs37394/Y,pin,pin,0,1.5022895800000001e-10
drc_bufs37395/A,drc_bufs37395/Y,pin,pin,0,1.37068878e-10
drc_bufs37396/A,drc_bufs37396/Y,pin,pin,0,1.60000458e-10
drc_bufs37407/A,drc_bufs37407/Y,pin,pin,0,1.34141785e-10
drc_bufs37415/A,drc_bufs37415/Y,pin,pin,0,1.4397956799999999e-10
drc_bufs37423/A,drc_bufs37423/Y,pin,pin,0,7.6487076e-11
drc_bufs37424/A,drc_bufs37424/Y,pin,pin,0,1.9610147e-11
drc_bufs37431/A,drc_bufs37431/Y,pin,pin,0,9.8141052e-11
drc_bufs37432/A,drc_bufs37432/Y,pin,pin,0,5.5907463e-11
drc_bufs37439/A,drc_bufs37439/Y,pin,pin,0,8.4853531e-11
drc_bufs37440/A,drc_bufs37440/Y,pin,pin,0,5.189571e-11
drc_bufs37447/A,drc_bufs37447/Y,pin,pin,0,1.33960052e-10
drc_bufs44686/A,drc_bufs44686/Y,pin,pin,0,1.5134573399999998e-10
drc_bufs44687/A,drc_bufs44687/Y,pin,pin,0,1.51390457e-10
drc_bufs44688/A,drc_bufs44688/Y,pin,pin,0,1.6299316400000001e-10
drc_bufs44689/A,drc_bufs44689/Y,pin,pin,0,1.17588173e-10
drc_bufs44699/A,drc_bufs44699/Y,pin,pin,0,1.28149323e-10
drc_bufs44700/A,drc_bufs44700/Y,pin,pin,0,1.19083351e-10
drc_bufs44701/A,drc_bufs44701/Y,pin,pin,0,1.1995230100000001e-10
drc_bufs44702/A,drc_bufs44702/Y,pin,pin,0,3.1974031e-11
drc_bufs44711/A,drc_bufs44711/Y,pin,pin,0,1.29081543e-10
drc_bufs44712/A,drc_bufs44712/Y,pin,pin,0,1.59372467e-10
drc_bufs44713/A,drc_bufs44713/Y,pin,pin,0,1.25129478e-10
drc_bufs44714/A,drc_bufs44714/Y,pin,pin,0,1.25548157e-10
drc_bufs44721/A,drc_bufs44721/Y,pin,pin,0,9.105747200000001e-11
drc_bufs44722/A,drc_bufs44722/Y,pin,pin,0,1.1196630099999999e-10
drc_bufs44728/A,drc_bufs44728/Y,pin,pin,0,1.45363876e-10
drc_bufs44729/A,drc_bufs44729/Y,pin,pin,0,4.2816364e-11
drc_bufs44735/A,drc_bufs44735/Y,pin,pin,0,1.36799225e-10
drc_bufs44736/A,drc_bufs44736/Y,pin,pin,0,4.3626690000000004e-11
