pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
div_by_zero_reg/CLK,35827,52443,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_by_zero_reg,clk,2.724231396022958e-10,3.2165829999541984e-09,6.409417701441766e-12,1.8464128004325175e-09,4.747360265520257e-16
div_by_zero_reg/D,35982,52443,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_by_zero_reg,n_259,8.730201284112837e-11,3.160795181145204e-09,5.1028636871564e-10,5.155690319114115e-10,5.588219930775849e-16
div_by_zero_reg/QN,36772,52443,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_by_zero_reg,div_by_zero,2.410398443342121e-11,3.2165827779095935e-09,9.495951941440595e-11,9.521352456465237e-11,-1
div_opa_ldz_r1_reg\[0\]/CLK,36097,26793,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r1_reg\[0\],clk,7.691802195175512e-10,3.6039933259957024e-09,1.2394149595529314e-10,1.9640122861375175e-09,4.747360265520257e-16
div_opa_ldz_r1_reg\[0\]/D,36252,26793,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r1_reg\[0\],n_1071,5.360963409306585e-11,3.169383866463704e-09,6.120332018966224e-10,6.518225958984658e-10,5.588219930775849e-16
div_opa_ldz_r1_reg\[0\]/QN,37042,26793,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r1_reg\[0\],div_opa_ldz_r1[0],2.8688128261844525e-11,3.6039933259957024e-09,2.56091092776245e-10,2.588677605608325e-10,-1
div_opa_ldz_r1_reg\[1\]/CLK,40309,20583,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r1_reg\[1\],clk,1.24895260800173e-09,3.4601312925985894e-09,2.3745500010718956e-10,2.077579663861684e-09,4.747360265520257e-16
div_opa_ldz_r1_reg\[1\]/D,40464,20583,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r1_reg\[1\],n_1072,6.027753296500293e-11,3.2872897737235007e-09,5.959866489213539e-10,6.503674265800896e-10,5.588219930775849e-16
div_opa_ldz_r1_reg\[1\]/QN,41254,20583,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r1_reg\[1\],div_opa_ldz_r1[1],1.5436934716617223e-11,3.4601312925985894e-09,4.0035708082086785e-10,4.0537434520260263e-10,-1
div_opa_ldz_r1_reg\[2\]/CLK,41119,20853,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r1_reg\[2\],clk,1.2512806346620664e-09,3.4601110865395412e-09,2.380058095052817e-10,2.078130556526503e-09,4.747360265520257e-16
div_opa_ldz_r1_reg\[2\]/D,41274,20853,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r1_reg\[2\],n_1079,6.189619650154299e-11,3.2626750190445364e-09,6.205307379048008e-10,6.655015982737211e-10,5.588219930775849e-16
div_opa_ldz_r1_reg\[2\]/QN,42064,20853,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r1_reg\[2\],div_opa_ldz_r1[2],1.4791817076753588e-11,3.4601110865395412e-09,4.005290543673823e-10,4.055593638696564e-10,-1
div_opa_ldz_r1_reg\[3\]/CLK,41659,20583,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r1_reg\[3\],clk,1.2524006276493083e-09,3.4591685071916345e-09,2.3827081974125974e-10,2.0783956777847834e-09,4.747360265520257e-16
div_opa_ldz_r1_reg\[3\]/D,41814,20583,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r1_reg\[3\],n_1075,4.135216474798753e-11,3.2693949769679875e-09,6.212315106779442e-10,6.12002393207689e-10,5.588219930775849e-16
div_opa_ldz_r1_reg\[3\]/QN,42604,20583,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r1_reg\[3\],div_opa_ldz_r1[3],1.5269960643160552e-11,3.4591685071916345e-09,4.013145926684558e-10,4.0635006470779444e-10,-1
div_opa_ldz_r1_reg\[4\]/CLK,40633,20313,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r1_reg\[4\],clk,1.2503049706680258e-09,3.459916353421022e-09,2.3777499413846215e-10,2.077899630137381e-09,4.747360265520257e-16
div_opa_ldz_r1_reg\[4\]/D,40788,20313,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r1_reg\[4\],n_1058,3.780991839064107e-11,3.2579181574732274e-09,6.316810963191699e-10,5.991704354890715e-10,5.588219930775849e-16
div_opa_ldz_r1_reg\[4\]/QN,41578,20313,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r1_reg\[4\],div_opa_ldz_r1[4],1.5201557027055834e-11,3.459916131376417e-09,4.0058723005387264e-10,4.056117108852675e-10,-1
div_opa_ldz_r2_reg\[0\]/CLK,43009,20853,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r2_reg\[0\],clk,1.2543738270309746e-09,-1.056283949196768e-09,2.387376685231146e-10,2.0788626375889407e-09,4.747360265520257e-16
div_opa_ldz_r2_reg\[0\]/D,43164,20853,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r2_reg\[0\],n_1087,2.549740626967001e-11,3.6039937700849123e-09,2.806202215044351e-10,2.750935590434267e-10,5.588219930775849e-16
div_opa_ldz_r2_reg\[0\]/QN,43954,20853,0,-1,0,0,1,4.608000179345817e-14,2.2699998825093104e-10,0,div_opa_ldz_r2_reg\[0\],div_opa_ldz_r2[0],5.0997896877680304e-11,-1.056283949196768e-09,4.226636540760609e-10,4.2755127216409505e-10,-1
div_opa_ldz_r2_reg\[1\]/CLK,41659,20043,1,-1,1,0,0,0.0,3.199999987213431e-10,0,div_opa_ldz_r2_reg\[1\],clk,1.252690284836433e-09,-1.0350648116386196e-09,2.3833937601303035e-10,2.0784642895677052e-09,4.747360265520257e-16
div_opa_ldz_r2_reg\[1\]/D,41814,20043,0,-1,0,1,0,0.0,3.199999987213431e-10,1,div_opa_ldz_r2_reg\[1\],n_1086,2.173673741001636e-11,3.4601317366877993e-09,4.2233733177354793e-10,4.1453918075973206e-10,5.588219930775849e-16
