port_name,net_name,dir,is_startpoint,is_endpoint,x0,y0,x1,y1,tran,slack,rise_arr,fall_arr
clk,clk,INPUT,1,0,27108,53772,27132,53856,1.8399999579532533e-10,-1.3633899564879925e-09,0.0,1.8400000412199802e-09
div_by_zero,div_by_zero,OUTPUT,0,1,28068,53772,28092,53856,2.410467485336465e-11,3.222466737895502e-09,8.953335295380782e-11,8.945582469221947e-11
fpu_op[0],fpu_op[0],INPUT,1,0,27092,0,27124,69,1.8399999579532533e-10,3.4719522812309833e-09,3.6799999159065067e-10,3.6799999159065067e-10
fpu_op[1],fpu_op[1],INPUT,1,0,27092,53787,27124,53856,1.8399999579532533e-10,3.2872866650990318e-09,3.6799999159065067e-10,3.6799999159065067e-10
fpu_op[2],fpu_op[2],INPUT,1,0,27108,0,27132,84,1.8399999579532533e-10,3.4731890696804157e-09,3.6799999159065067e-10,3.6799999159065067e-10
ine,ine,OUTPUT,0,1,27988,0,28020,69,2.449729481768248e-11,2.908070895202286e-09,4.0020720071254345e-10,4.0392902911357e-10
inf,inf,OUTPUT,0,1,26244,53772,26268,53856,2.5706577491679816e-11,3.221328981339866e-09,9.067092909820218e-11,9.06480446261071e-11
opa[0],opa[0],INPUT,1,0,27476,53787,27508,53856,1.8399999579532533e-10,3.2713614039892036e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[10],opa[10],INPUT,1,0,26836,0,26868,69,1.8399999579532533e-10,3.46124040540019e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[11],opa[11],INPUT,1,0,26820,0,26844,84,1.8399999579532533e-10,3.4464242570919623e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[12],opa[12],INPUT,1,0,26836,53787,26868,53856,1.8399999579532533e-10,3.265229642224199e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[13],opa[13],INPUT,1,0,26820,53772,26844,53856,1.8399999579532533e-10,3.257650149635083e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[14],opa[14],INPUT,1,0,27348,0,27380,69,1.8399999579532533e-10,3.4560965200824967e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[15],opa[15],INPUT,1,0,27348,53787,27380,53856,1.8399999579532533e-10,3.2656668480512963e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[16],opa[16],INPUT,1,0,54064,26896,54252,26936,1.8399999579532533e-10,3.3112639297172564e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[17],opa[17],INPUT,1,0,54183,26900,54252,26932,1.8399999579532533e-10,3.3063318749526616e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[18],opa[18],INPUT,1,0,0,26896,188,26936,1.8399999579532533e-10,3.338007426023637e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[19],opa[19],INPUT,1,0,0,26900,69,26932,1.8399999579532533e-10,3.337252696411497e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[1],opa[1],INPUT,1,0,27492,53772,27516,53856,1.8399999579532533e-10,3.2471461075544994e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[20],opa[20],INPUT,1,0,26916,0,26940,84,1.8399999579532533e-10,3.442803153674845e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[21],opa[21],INPUT,1,0,26916,53772,26940,53856,1.8399999579532533e-10,3.2619849044124294e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[22],opa[22],INPUT,1,0,27300,0,27324,84,1.8399999579532533e-10,3.4430864825907292e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[23],opa[23],INPUT,1,0,27300,53772,27324,53856,1.8399999579532533e-10,3.246830582170901e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[24],opa[24],INPUT,1,0,26964,0,26996,69,1.8399999579532533e-10,3.448400898165005e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[25],opa[25],INPUT,1,0,26964,53787,26996,53856,1.8399999579532533e-10,3.262948355953199e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[26],opa[26],INPUT,1,0,27220,0,27252,69,1.8399999579532533e-10,3.445974838811594e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[27],opa[27],INPUT,1,0,27220,53787,27252,53856,1.8399999579532533e-10,3.2634379643070588e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[28],opa[28],INPUT,1,0,27012,0,27036,84,1.8399999579532533e-10,3.4611826738029094e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[29],opa[29],INPUT,1,0,27012,53772,27036,53856,1.8399999579532533e-10,3.271401594062695e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[2],opa[2],INPUT,1,0,54064,27056,54252,27096,1.8399999579532533e-10,3.3296299051244205e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[30],opa[30],INPUT,1,0,27204,0,27228,84,1.8399999579532533e-10,3.4412133143035817e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[31],opa[31],INPUT,1,0,27204,53772,27228,53856,1.8399999579532533e-10,3.2682543338324876e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[3],opa[3],INPUT,1,0,0,27056,188,27096,1.8399999579532533e-10,3.3475606731059315e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[4],opa[4],INPUT,1,0,54183,26772,54252,26804,1.8399999579532533e-10,3.340826948416975e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[5],opa[5],INPUT,1,0,0,26772,69,26804,1.8399999579532533e-10,3.2862006449363435e-09,3.6799999159065067e-10,3.6799999159065067e-10
opa[6],opa[6],INPUT,1,0,54183,27028,54252,27060,1.8399999579532533e-10,3.4625589062642348e-09,3.6799999159065067e-10,3.6799999159065067e-10
