net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
UNCONNECTED1000,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1001,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1002,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1003,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1004,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1005,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1006,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1007,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1008,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1009,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1010,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1011,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1012,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1013,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1014,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1015,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1016,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1017,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1018,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1019,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1020,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1021,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1022,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1023,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1024,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1025,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1026,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1027,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1028,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1029,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1030,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1031,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1032,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1033,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1034,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1035,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1036,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1037,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1038,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1039,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1040,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1041,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1042,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1043,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1044,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1045,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1046,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1047,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1048,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1049,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1050,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1051,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1052,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1053,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1054,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1055,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1056,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1057,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1058,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1059,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1060,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1061,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1062,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1063,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1064,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1065,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1066,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1067,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1068,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1069,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1070,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1071,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1072,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1073,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1074,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1075,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1076,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1077,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1078,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1079,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1080,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1081,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1082,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1083,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1084,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1085,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1086,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1087,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1088,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED954,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED955,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED956,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED957,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED958,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED959,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED960,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED961,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED962,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED963,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED964,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED965,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED966,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED967,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED968,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED969,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED970,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED971,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED972,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED973,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED974,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED975,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED976,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED977,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED978,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED979,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED980,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED981,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED982,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED983,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED984,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED985,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED986,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED987,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED988,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED989,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED990,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED991,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED992,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED993,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED994,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED995,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED996,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED997,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED998,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED999,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z0,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z1,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z10,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z11,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z12,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z13,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z14,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z15,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z16,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z17,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z18,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z19,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z2,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z20,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z21,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z22,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z23,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z24,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z25,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z26,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z27,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z28,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z29,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z3,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z30,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z31,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z32,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z33,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED_HIER_Z34,0,-1,0,0.0,0.0,0.0,0.0
