port_name,net_name,dir,is_startpoint,is_endpoint,x0,y0,x1,y1,tran,slack,rise_arr,fall_arr
axi_mst_req_o\[ar\]\[addr\][0],axi_mst_req_o\[ar\]\[addr\][0],OUTPUT,0,1,96612,390662,96636,390996,1.0244649746582457e-11,2.672759569222194e-09,2.1144103135029013e-10,2.1224041968359586e-10
axi_mst_req_o\[ar\]\[addr\][10],axi_mst_req_o\[ar\]\[addr\][10],OUTPUT,0,1,0,96148,274,96180,1.0391888738414679e-11,2.5183282126306494e-09,3.6667174851956474e-10,3.487058142237487e-10
axi_mst_req_o\[ar\]\[addr\][11],axi_mst_req_o\[ar\]\[addr\][11],OUTPUT,0,1,96516,0,96540,334,1.0244649746582457e-11,2.6882773784819847e-09,1.967225826682295e-10,1.8164833526235213e-10
axi_mst_req_o\[ar\]\[addr\][12],axi_mst_req_o\[ar\]\[addr\][12],OUTPUT,0,1,96516,390662,96540,390996,1.1034951598321019e-11,2.578801616692772e-09,2.887040051469114e-10,3.06198510990896e-10
axi_mst_req_o\[ar\]\[addr\][13],axi_mst_req_o\[ar\]\[addr\][13],OUTPUT,0,1,391202,96184,391536,96208,1.0244649746582457e-11,2.6882773784819847e-09,1.967225826682295e-10,1.8164833526235213e-10
axi_mst_req_o\[ar\]\[addr\][14],axi_mst_req_o\[ar\]\[addr\][14],OUTPUT,0,1,0,96184,334,96208,1.0244649746582457e-11,2.6882773784819847e-09,1.967225826682295e-10,1.8164833526235213e-10
axi_mst_req_o\[ar\]\[addr\][15],axi_mst_req_o\[ar\]\[addr\][15],OUTPUT,0,1,391262,96404,391536,96436,1.1034951598321019e-11,2.578801616692772e-09,2.887040051469114e-10,3.06198510990896e-10
axi_mst_req_o\[ar\]\[addr\][16],axi_mst_req_o\[ar\]\[addr\][16],OUTPUT,0,1,0,96404,274,96436,1.0034611162834661e-11,2.672759569222194e-09,2.1144103135029013e-10,2.1224041968359586e-10
axi_mst_req_o\[ar\]\[addr\][17],axi_mst_req_o\[ar\]\[addr\][17],OUTPUT,0,1,96468,0,96500,274,1.0034611162834661e-11,2.672759569222194e-09,2.1144103135029013e-10,2.1224041968359586e-10
axi_mst_req_o\[ar\]\[addr\][18],axi_mst_req_o\[ar\]\[addr\][18],OUTPUT,0,1,96468,390722,96500,390996,1.0282369573844097e-11,2.5183282126306494e-09,3.6667174851956474e-10,3.487058142237487e-10
axi_mst_req_o\[ar\]\[addr\][19],axi_mst_req_o\[ar\]\[addr\][19],OUTPUT,0,1,96212,0,96244,274,1.0391888738414679e-11,2.5183282126306494e-09,3.6667174851956474e-10,3.487058142237487e-10
axi_mst_req_o\[ar\]\[addr\][1],axi_mst_req_o\[ar\]\[addr\][1],OUTPUT,0,1,96084,0,96116,274,9.028467209959423e-12,2.7119344547799074e-09,1.7306554800367024e-10,1.620745343489105e-10
axi_mst_req_o\[ar\]\[addr\][20],axi_mst_req_o\[ar\]\[addr\][20],OUTPUT,0,1,96212,390722,96244,390996,1.1034951598321019e-11,2.5809565595835693e-09,2.8644051019988126e-10,3.040434570777961e-10
axi_mst_req_o\[ar\]\[addr\][21],axi_mst_req_o\[ar\]\[addr\][21],OUTPUT,0,1,96228,0,96252,334,1.0244649746582457e-11,2.672759569222194e-09,2.1144103135029013e-10,2.1224041968359586e-10
axi_mst_req_o\[ar\]\[addr\][22],axi_mst_req_o\[ar\]\[addr\][22],OUTPUT,0,1,96228,390662,96252,390996,9.028467209959423e-12,2.7119344547799074e-09,1.7306554800367024e-10,1.620745343489105e-10
axi_mst_req_o\[ar\]\[addr\][23],axi_mst_req_o\[ar\]\[addr\][23],OUTPUT,0,1,96420,0,96444,334,1.1034951598321019e-11,2.578801616692772e-09,2.887040051469114e-10,3.06198510990896e-10
axi_mst_req_o\[ar\]\[addr\][24],axi_mst_req_o\[ar\]\[addr\][24],OUTPUT,0,1,96420,390662,96444,390996,1.1034951598321019e-11,2.578801616692772e-09,2.887040051469114e-10,3.06198510990896e-10
axi_mst_req_o\[ar\]\[addr\][25],axi_mst_req_o\[ar\]\[addr\][25],OUTPUT,0,1,391202,96344,391536,96368,1.0034611162834661e-11,2.672759569222194e-09,2.1144103135029013e-10,2.1224041968359586e-10
axi_mst_req_o\[ar\]\[addr\][26],axi_mst_req_o\[ar\]\[addr\][26],OUTPUT,0,1,0,96344,334,96368,1.1034951598321019e-11,2.5809565595835693e-09,2.8644051019988126e-10,3.040434570777961e-10
axi_mst_req_o\[ar\]\[addr\][27],axi_mst_req_o\[ar\]\[addr\][27],OUTPUT,0,1,391262,96276,391536,96308,1.0244649746582457e-11,2.6882773784819847e-09,1.967225826682295e-10,1.8164833526235213e-10
axi_mst_req_o\[ar\]\[addr\][28],axi_mst_req_o\[ar\]\[addr\][28],OUTPUT,0,1,0,96276,274,96308,1.0244649746582457e-11,2.672759569222194e-09,2.1144103135029013e-10,2.1224041968359586e-10
axi_mst_req_o\[ar\]\[addr\][29],axi_mst_req_o\[ar\]\[addr\][29],OUTPUT,0,1,96340,0,96372,274,1.0282369573844097e-11,2.5183282126306494e-09,3.6667174851956474e-10,3.487058142237487e-10
axi_mst_req_o\[ar\]\[addr\][2],axi_mst_req_o\[ar\]\[addr\][2],OUTPUT,0,1,96084,390722,96116,390996,1.1034951598321019e-11,2.578801616692772e-09,2.887040051469114e-10,3.06198510990896e-10
axi_mst_req_o\[ar\]\[addr\][30],axi_mst_req_o\[ar\]\[addr\][30],OUTPUT,0,1,96324,0,96348,334,1.0244649746582457e-11,2.672759569222194e-09,2.1144103135029013e-10,2.1224041968359586e-10
axi_mst_req_o\[ar\]\[addr\][31],axi_mst_req_o\[ar\]\[addr\][31],OUTPUT,0,1,96340,390722,96372,390996,1.0244649746582457e-11,2.6882773784819847e-09,1.967225826682295e-10,1.8164833526235213e-10
axi_mst_req_o\[ar\]\[addr\][3],axi_mst_req_o\[ar\]\[addr\][3],OUTPUT,0,1,391202,96504,391536,96528,1.1034951598321019e-11,2.5809565595835693e-09,2.8644051019988126e-10,3.040434570777961e-10
axi_mst_req_o\[ar\]\[addr\][4],axi_mst_req_o\[ar\]\[addr\][4],OUTPUT,0,1,391262,96532,391536,96564,9.028467209959423e-12,2.7119344547799074e-09,1.7306554800367024e-10,1.620745343489105e-10
axi_mst_req_o\[ar\]\[addr\][5],axi_mst_req_o\[ar\]\[addr\][5],OUTPUT,0,1,0,96504,334,96528,1.1034951598321019e-11,2.5809565595835693e-09,2.8644051019988126e-10,3.040434570777961e-10
axi_mst_req_o\[ar\]\[addr\][6],axi_mst_req_o\[ar\]\[addr\][6],OUTPUT,0,1,0,96532,274,96564,1.0034611162834661e-11,2.672759569222194e-09,2.1144103135029013e-10,2.1224041968359586e-10
axi_mst_req_o\[ar\]\[addr\][7],axi_mst_req_o\[ar\]\[addr\][7],OUTPUT,0,1,96132,0,96156,334,9.028467209959423e-12,2.7119344547799074e-09,1.7306554800367024e-10,1.620745343489105e-10
axi_mst_req_o\[ar\]\[addr\][8],axi_mst_req_o\[ar\]\[addr\][8],OUTPUT,0,1,96132,390662,96156,390996,1.1034951598321019e-11,2.5809565595835693e-09,2.8644051019988126e-10,3.040434570777961e-10
axi_mst_req_o\[ar\]\[addr\][9],axi_mst_req_o\[ar\]\[addr\][9],OUTPUT,0,1,391262,96148,391536,96180,1.0244649746582457e-11,2.6882773784819847e-09,1.967225826682295e-10,1.8164833526235213e-10
axi_mst_req_o\[ar\]\[burst\][0],axi_mst_req_o\[ar\]\[burst\][0],OUTPUT,0,1,96612,0,96636,334,1.1034951598321019e-11,2.578801616692772e-09,2.887040051469114e-10,3.06198510990896e-10
axi_mst_req_o\[ar\]\[cache\][1],axi_mst_req_o\[ar\]\[cache\][1],OUTPUT,0,1,96036,0,96060,334,1.1034951598321019e-11,2.578801616692772e-09,2.887040051469114e-10,3.06198510990896e-10
axi_mst_req_o\[ar\]\[id\][1],axi_mst_req_o\[ar\]\[id\][1],OUTPUT,0,1,0,96024,334,96048,1.0244649746582457e-11,2.672759569222194e-09,2.1144103135029013e-10,2.1224041968359586e-10
axi_mst_req_o\[ar\]\[len\][0],axi_mst_req_o\[ar\]\[len\][0],OUTPUT,0,1,96724,390722,96756,390996,1.0391888738414679e-11,2.5183282126306494e-09,3.6667174851956474e-10,3.487058142237487e-10
axi_mst_req_o\[ar\]\[size\][1],axi_mst_req_o\[ar\]\[size\][1],OUTPUT,0,1,95844,0,95868,334,1.1034951598321019e-11,2.5809565595835693e-09,2.8644051019988126e-10,3.040434570777961e-10
axi_mst_req_o\[ar\]\[size\][2],axi_mst_req_o\[ar\]\[size\][2],OUTPUT,0,1,95844,390662,95868,390996,1.0282369573844097e-11,2.5183282126306494e-09,3.6667174851956474e-10,3.487058142237487e-10
axi_mst_req_o\[ar_valid\],axi_mst_req_o\[ar_valid\],OUTPUT,0,1,106068,390722,106100,390996,1.1225185711505326e-11,2.7625426390898156e-09,1.2030443308219674e-10,1.2245728042703519e-10
axi_mst_req_o\[aw\]\[addr\][10],axi_mst_req_o\[aw\]\[addr\][10],OUTPUT,0,1,0,96916,274,96948,1.1596493730559043e-11,2.4781126040096524e-09,4.0688732938498617e-10,3.9142961094640327e-10
axi_mst_req_o\[aw\]\[addr\][11],axi_mst_req_o\[aw\]\[addr\][11],OUTPUT,0,1,96980,0,97012,274,1.034629933810427e-11,2.6139144182479868e-09,2.667368270703463e-10,2.710856539245299e-10
axi_mst_req_o\[aw\]\[addr\][12],axi_mst_req_o\[aw\]\[addr\][12],OUTPUT,0,1,96996,0,97020,334,8.802281820097235e-12,2.697756684710839e-09,1.8724322092822376e-10,1.791559539610077e-10
axi_mst_req_o\[aw\]\[addr\][13],axi_mst_req_o\[aw\]\[addr\][13],OUTPUT,0,1,96980,390722,97012,390996,1.1596493730559043e-11,2.4781126040096524e-09,4.0688732938498617e-10,3.9142961094640327e-10
axi_mst_req_o\[aw\]\[addr\][14],axi_mst_req_o\[aw\]\[addr\][14],OUTPUT,0,1,96996,390662,97020,390996,1.0529312664819823e-11,2.4498387762861285e-09,4.351613236419638e-10,4.2653014453719607e-10
axi_mst_req_o\[aw\]\[addr\][15],axi_mst_req_o\[aw\]\[addr\][15],OUTPUT,0,1,95700,0,95732,274,1.034629933810427e-11,2.6139144182479868e-09,2.667368270703463e-10,2.710856539245299e-10
axi_mst_req_o\[aw\]\[addr\][16],axi_mst_req_o\[aw\]\[addr\][16],OUTPUT,0,1,391202,95704,391536,95728,8.802281820097235e-12,2.697756684710839e-09,1.8724322092822376e-10,1.791559539610077e-10
axi_mst_req_o\[aw\]\[addr\][17],axi_mst_req_o\[aw\]\[addr\][17],OUTPUT,0,1,95700,390722,95732,390996,8.802281820097235e-12,2.697756684710839e-09,1.8724322092822376e-10,1.791559539610077e-10
