net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
axi_mst_req_o\[ar\]\[addr\][0],0,-1,1,4.1094660633385e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][10],0,-1,1,9.997746716877004e-15,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][11],0,-1,1,2.135289591898102e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][12],0,-1,1,4.0476323193757574e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][13],0,-1,1,4.048591838298407e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][14],0,-1,1,9.20669417710674e-15,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][15],0,-1,1,4.1261610827288825e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][16],0,-1,1,9.081763593650309e-15,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][17],0,-1,1,2.118009272741167e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][18],0,-1,1,3.9523790598856856e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][19],0,-1,1,1.8950785019467183e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][1],0,-1,1,1.8017903588942764e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][20],0,-1,1,3.969822517588262e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][21],0,-1,1,2.0978295598057806e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][22],0,-1,1,4.160837595149937e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][23],0,-1,1,1.9608633157952235e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][24],0,-1,1,3.9657066150909637e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][25],0,-1,1,4.2903628241254543e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][26],0,-1,1,1.0452180740111883e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][27],0,-1,1,3.980411445868477e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][28],0,-1,1,1.0047326943411587e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][29],0,-1,1,1.8654996032088297e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][2],0,-1,1,3.921423054982151e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][30],0,-1,1,2.0497008089296123e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][31],0,-1,1,3.893120634895775e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][3],0,-1,1,4.017737477348543e-14,0.0,0.0,0.0
axi_mst_req_o\[ar\]\[addr\][4],0,-1,1,4.002299116038707e-14,0.0,0.0,0.0
