src,tar,src_type,tar_type
configuration_sync_cache_lsize_to_wb_bits_reg\[8\],g144056,cell,cell
configuration_sync_cache_lsize_to_wb_bits_reg\[8\],g142241,cell,cell
configuration_sync_cache_lsize_to_wb_bits_reg\[8\],g140373,cell,cell
configuration_sync_cache_lsize_to_wb_bits_reg\[8\],g139532,cell,cell
configuration_sync_cache_lsize_to_wb_bits_reg\[8\],g138499,cell,cell
configuration_sync_cache_lsize_to_wb_bits_reg\[8\],g138498,cell,cell
configuration_sync_cache_lsize_to_wb_bits_reg\[8\],g122988,cell,cell
configuration_interrupt_out_reg,g142573,cell,cell
configuration_latency_timer_reg\[0\],g139818,cell,cell
configuration_latency_timer_reg\[0\],g139611,cell,cell
configuration_latency_timer_reg\[0\],g135308,cell,cell
configuration_pci_am1_reg\[8\],g154307,cell,cell
configuration_pci_am1_reg\[8\],g135237,cell,cell
configuration_pci_am1_reg\[8\],g123709,cell,cell
configuration_pci_am1_reg\[8\],g123073,cell,cell
configuration_pci_ba0_bit31_8_reg\[12\],g143035,cell,cell
configuration_pci_ba0_bit31_8_reg\[12\],g137798,cell,cell
configuration_pci_ba0_bit31_8_reg\[12\],g123446,cell,cell
configuration_pci_ba0_bit31_8_reg\[12\],g123308,cell,cell
configuration_pci_ba1_bit31_8_reg\[8\],g139955,cell,cell
configuration_pci_ba1_bit31_8_reg\[8\],g123709,cell,cell
configuration_pci_ba1_bit31_8_reg\[8\],g123481,cell,cell
pci_target_unit_wishbone_master_bc_register_reg\[1\],g159149,cell,cell
pci_target_unit_wishbone_master_bc_register_reg\[1\],g141780,cell,cell
pci_target_unit_wishbone_master_bc_register_reg\[2\],g159151,cell,cell
pci_target_unit_wishbone_master_bc_register_reg\[2\],g141657,cell,cell
pci_target_unit_wishbone_master_bc_register_reg\[3\],g159148,cell,cell
pci_target_unit_wishbone_master_bc_register_reg\[3\],g141762,cell,cell
configuration_pci_img_ctrl1_bit2_1_reg\[1\],g195412,cell,cell
configuration_pci_img_ctrl1_bit2_1_reg\[1\],g141624,cell,cell
configuration_pci_img_ctrl1_bit2_1_reg\[1\],g139869,cell,cell
configuration_init_complete_reg,pci_io_mux_req_iob_en_out_reg,cell,cell
configuration_init_complete_reg,g164944,cell,cell
configuration_init_complete_reg,g143899,cell,cell
configuration_init_complete_reg,g123883,cell,cell
configuration_init_complete_reg,g123366,cell,cell
configuration_init_complete_reg,g123243,cell,cell
configuration_icr_bit31_reg,g165636,cell,cell
configuration_icr_bit31_reg,g139894,cell,cell
configuration_icr_bit31_reg,g123694,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[2\],g165831,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[2\],g165821,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[3\],g9,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[3\],g165831,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[3\],g165355,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[3\],fopt165507,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[4\],g207642,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[4\],g165625,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[4\],fopt165436,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[5\],g199755,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[5\],fopt165825,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[6\],g199755,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[6\],g165816,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[7\],g207642,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[7\],g165625,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[7\],fopt4,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[7\],fopt166032,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[8\],g165807,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[8\],fopt165686,cell,cell
pci_target_unit_pci_target_if_strd_address_reg\[9\],g165808,cell,cell
configuration_wb_am1_reg\[31\],g196771,cell,cell
configuration_wb_am1_reg\[31\],g144137,cell,cell
