src,tar,src_type,tar_type
configuration_cache_line_size_reg_reg\[0\]/CLK,configuration_cache_line_size_reg_reg\[0\],pin,cell
configuration_cache_line_size_reg_reg\[0\]/D,configuration_cache_line_size_reg_reg\[0\],pin,cell
configuration_cache_line_size_reg_reg\[0\],configuration_cache_line_size_reg_reg\[0\]/QN,cell,pin
configuration_cache_line_size_reg_reg\[0\]/SETN,configuration_cache_line_size_reg_reg\[0\],pin,cell
configuration_cache_line_size_reg_reg\[1\]/CLK,configuration_cache_line_size_reg_reg\[1\],pin,cell
configuration_cache_line_size_reg_reg\[1\]/D,configuration_cache_line_size_reg_reg\[1\],pin,cell
configuration_cache_line_size_reg_reg\[1\],configuration_cache_line_size_reg_reg\[1\]/QN,cell,pin
configuration_cache_line_size_reg_reg\[1\]/SETN,configuration_cache_line_size_reg_reg\[1\],pin,cell
configuration_cache_line_size_reg_reg\[2\]/CLK,configuration_cache_line_size_reg_reg\[2\],pin,cell
configuration_cache_line_size_reg_reg\[2\]/D,configuration_cache_line_size_reg_reg\[2\],pin,cell
configuration_cache_line_size_reg_reg\[2\],configuration_cache_line_size_reg_reg\[2\]/QN,cell,pin
configuration_cache_line_size_reg_reg\[2\]/SETN,configuration_cache_line_size_reg_reg\[2\],pin,cell
configuration_cache_line_size_reg_reg\[3\]/CLK,configuration_cache_line_size_reg_reg\[3\],pin,cell
configuration_cache_line_size_reg_reg\[3\]/D,configuration_cache_line_size_reg_reg\[3\],pin,cell
configuration_cache_line_size_reg_reg\[3\],configuration_cache_line_size_reg_reg\[3\]/QN,cell,pin
configuration_cache_line_size_reg_reg\[3\]/SETN,configuration_cache_line_size_reg_reg\[3\],pin,cell
configuration_cache_line_size_reg_reg\[4\]/CLK,configuration_cache_line_size_reg_reg\[4\],pin,cell
configuration_cache_line_size_reg_reg\[4\]/D,configuration_cache_line_size_reg_reg\[4\],pin,cell
configuration_cache_line_size_reg_reg\[4\],configuration_cache_line_size_reg_reg\[4\]/QN,cell,pin
configuration_cache_line_size_reg_reg\[4\]/SETN,configuration_cache_line_size_reg_reg\[4\],pin,cell
configuration_cache_line_size_reg_reg\[5\]/CLK,configuration_cache_line_size_reg_reg\[5\],pin,cell
configuration_cache_line_size_reg_reg\[5\]/D,configuration_cache_line_size_reg_reg\[5\],pin,cell
