cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
configuration_cache_line_size_reg_reg\[0\],1,0,0,0,0,1404,270,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.0643806263033184e-06
configuration_cache_line_size_reg_reg\[1\],1,0,0,0,0,1404,270,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,1.0868030813071528e-06
configuration_cache_line_size_reg_reg\[2\],1,0,0,0,0,1404,270,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.0643929044817924e-06
configuration_cache_line_size_reg_reg\[3\],1,0,0,0,0,1404,270,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,1.086805468730745e-06
configuration_cache_line_size_reg_reg\[4\],1,0,0,0,0,1404,270,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,1.086800125449372e-06
configuration_cache_line_size_reg_reg\[5\],1,0,0,0,0,1404,270,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,1.0868002391362097e-06
configuration_cache_line_size_reg_reg\[6\],1,0,0,0,0,1404,270,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,1.0868017170651e-06
configuration_cache_line_size_reg_reg\[7\],1,0,0,0,0,1404,270,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,1.0868012623177492e-06
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\],1,0,0,0,0,1404,270,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.0643657333275769e-06
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\],1,0,0,0,0,1404,270,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.0643657333275769e-06
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[2\],1,0,0,0,0,1404,270,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.0643657333275769e-06
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[3\],1,0,0,0,0,1404,270,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.0643657333275769e-06
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[4\],1,0,0,0,0,1404,270,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.0643657333275769e-06
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[5\],1,0,0,0,0,1404,270,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.0643657333275769e-06
