src,tar,src_type,tar_type
g164964/CON,UNCONNECTED,pin,net
g164965/CON,UNCONNECTED0,pin,net
g164966/CON,UNCONNECTED1,pin,net
g164968/CON,UNCONNECTED2,pin,net
g164969/CON,UNCONNECTED3,pin,net
g164970/CON,UNCONNECTED4,pin,net
conf_cache_lsize_not_zero_to_wb_out,g144056/A,net,pin
conf_cache_lsize_not_zero_to_wb_out,g142241/B,net,pin
conf_cache_lsize_not_zero_to_wb_out,g140373/B,net,pin
conf_cache_lsize_not_zero_to_wb_out,g139532/A3,net,pin
conf_cache_lsize_not_zero_to_wb_out,g138499/A1,net,pin
conf_cache_lsize_not_zero_to_wb_out,g138498/A1,net,pin
conf_cache_lsize_not_zero_to_wb_out,g122988/A,net,pin
configuration_sync_cache_lsize_to_wb_bits_reg\[8\]/QN,conf_cache_lsize_not_zero_to_wb_out,pin,net
conf_int_out,g142573/A,net,pin
configuration_interrupt_out_reg/QN,conf_int_out,pin,net
conf_latency_tim_out[0],g139818/B1,net,pin
conf_latency_tim_out[0],g139611/B1,net,pin
conf_latency_tim_out[0],g135308/B1,net,pin
configuration_latency_timer_reg\[0\]/QN,conf_latency_tim_out[0],pin,net
conf_pci_am1_out[0],g154307/B1,net,pin
conf_pci_am1_out[0],g135237/A1,net,pin
conf_pci_am1_out[0],g123709/A,net,pin
conf_pci_am1_out[0],g123073/A2,net,pin
configuration_pci_am1_reg\[8\]/QN,conf_pci_am1_out[0],pin,net
conf_pci_ba0_out[0],g143035/A,net,pin
conf_pci_ba0_out[0],g137798/B1,net,pin
conf_pci_ba0_out[0],g123446/A1,net,pin
conf_pci_ba0_out[0],g123308/A2,net,pin
configuration_pci_ba0_bit31_8_reg\[12\]/QN,conf_pci_ba0_out[0],pin,net
conf_pci_ba1_out[0],g139955/B1,net,pin
conf_pci_ba1_out[0],g123709/B,net,pin
conf_pci_ba1_out[0],g123481/A,net,pin
configuration_pci_ba1_bit31_8_reg\[8\]/QN,conf_pci_ba1_out[0],pin,net
pci_target_unit_wishbone_master_bc_register_reg\[1\]/QN,conf_pci_err_bc_in[1],pin,net
conf_pci_err_bc_in[1],g159149/A1,net,pin
conf_pci_err_bc_in[1],g141780/B1,net,pin
pci_target_unit_wishbone_master_bc_register_reg\[2\]/QN,conf_pci_err_bc_in[2],pin,net
conf_pci_err_bc_in[2],g159151/A1,net,pin
conf_pci_err_bc_in[2],g141657/B1,net,pin
pci_target_unit_wishbone_master_bc_register_reg\[3\]/QN,conf_pci_err_bc_in[3],pin,net
conf_pci_err_bc_in[3],g159148/A1,net,pin
conf_pci_err_bc_in[3],g141762/B1,net,pin
conf_pci_img_ctrl1_out[0],g195412/A3,net,pin
conf_pci_img_ctrl1_out[0],g141624/A3,net,pin
conf_pci_img_ctrl1_out[0],g139869/B1,net,pin
configuration_pci_img_ctrl1_bit2_1_reg\[1\]/QN,conf_pci_img_ctrl1_out[0],pin,net
conf_pci_init_complete_out,pci_io_mux_req_iob_en_out_reg/D,net,pin
conf_pci_init_complete_out,g164944/A,net,pin
conf_pci_init_complete_out,g143899/A,net,pin
conf_pci_init_complete_out,g123883/A,net,pin
conf_pci_init_complete_out,g123366/C,net,pin
conf_pci_init_complete_out,g123243/C,net,pin
configuration_init_complete_reg/QN,conf_pci_init_complete_out,pin,net
conf_soft_res_out,g165636/A2,net,pin
conf_soft_res_out,g139894/B1,net,pin
conf_soft_res_out,g123694/B,net,pin
configuration_icr_bit31_reg/QN,conf_soft_res_out,pin,net
pci_target_unit_pci_target_if_strd_address_reg\[2\]/QN,conf_w_addr_in[2],pin,net
conf_w_addr_in[2],g165831/B,net,pin
conf_w_addr_in[2],g165821/A,net,pin
pci_target_unit_pci_target_if_strd_address_reg\[3\]/QN,conf_w_addr_in[3],pin,net
conf_w_addr_in[3],g9/A,net,pin
conf_w_addr_in[3],g165831/A,net,pin
conf_w_addr_in[3],g165355/B,net,pin
conf_w_addr_in[3],fopt165507/A,net,pin
pci_target_unit_pci_target_if_strd_address_reg\[4\]/QN,conf_w_addr_in[4],pin,net
conf_w_addr_in[4],g207642/B,net,pin
conf_w_addr_in[4],g165625/B,net,pin
conf_w_addr_in[4],fopt165436/A,net,pin
pci_target_unit_pci_target_if_strd_address_reg\[5\]/QN,conf_w_addr_in[5],pin,net
conf_w_addr_in[5],g199755/A,net,pin
conf_w_addr_in[5],fopt165825/A,net,pin
pci_target_unit_pci_target_if_strd_address_reg\[6\]/QN,conf_w_addr_in[6],pin,net
conf_w_addr_in[6],g199755/B,net,pin
conf_w_addr_in[6],g165816/A,net,pin
pci_target_unit_pci_target_if_strd_address_reg\[7\]/QN,conf_w_addr_in[7],pin,net
conf_w_addr_in[7],g207642/A,net,pin
conf_w_addr_in[7],g165625/A,net,pin
conf_w_addr_in[7],fopt4/A,net,pin
conf_w_addr_in[7],fopt166032/A,net,pin
pci_target_unit_pci_target_if_strd_address_reg\[8\]/QN,conf_w_addr_in[8],pin,net
conf_w_addr_in[8],g165807/B,net,pin
conf_w_addr_in[8],fopt165686/A,net,pin
pci_target_unit_pci_target_if_strd_address_reg\[9\]/QN,conf_w_addr_in[9],pin,net
conf_w_addr_in[9],g165808/A,net,pin
conf_wb_am1_out[19],g196771/C,net,pin
conf_wb_am1_out[19],g144137/C,net,pin
conf_wb_am1_out[19],g139895/B1,net,pin
conf_wb_am1_out[19],g135761/A1,net,pin
configuration_wb_am1_reg\[31\]/QN,conf_wb_am1_out[19],pin,net
conf_wb_am2_out[19],g176338/C,net,pin
conf_wb_am2_out[19],g141353/C,net,pin
conf_wb_am2_out[19],g139974/B1,net,pin
conf_wb_am2_out[19],g135761/B1,net,pin
configuration_wb_am2_reg\[31\]/QN,conf_wb_am2_out[19],pin,net
conf_wb_ba1_out[19],g196771/B,net,pin
conf_wb_ba1_out[19],g164951/B,net,pin
conf_wb_ba1_out[19],g139881/B1,net,pin
configuration_wb_ba1_bit31_12_reg\[31\]/QN,conf_wb_ba1_out[19],pin,net
conf_wb_ba2_out[19],g176338/D,net,pin
conf_wb_ba2_out[19],g142254/B,net,pin
conf_wb_ba2_out[19],g139897/B1,net,pin
configuration_wb_ba2_bit31_12_reg\[31\]/QN,conf_wb_ba2_out[19],pin,net
wishbone_slave_unit_pci_initiator_if_current_dword_address_reg\[8\]/QN,conf_wb_err_addr_in[10],pin,net
conf_wb_err_addr_in[10],inc_wishbone_slave_unit_pci_initiator_if_add_395_67_g412/A,net,pin
