net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
UNCONNECTED,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED0,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED1,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED2,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED3,0,-1,0,0.0,0.0,0.0,0.0
UNCONNECTED4,0,-1,0,0.0,0.0,0.0,0.0
conf_cache_lsize_not_zero_to_wb_out,0,-1,7,2.7248867801087182e-15,0.0,0.0,0.0
conf_int_out,0,-1,1,2.7572301508644724e-16,0.0,0.0,0.0
conf_latency_tim_out[0],0,-1,3,1.33829109259635e-15,0.0,0.0,0.0
conf_pci_am1_out[0],0,-1,4,1.6305350353327391e-15,0.0,0.0,0.0
conf_pci_ba0_out[0],0,-1,4,1.5693830681892413e-15,0.0,0.0,0.0
conf_pci_ba1_out[0],0,-1,3,1.7289299823758245e-15,0.0,0.0,0.0
conf_pci_err_bc_in[1],0,-1,2,7.845989957451331e-16,0.0,0.0,0.0
conf_pci_err_bc_in[2],0,-1,2,9.152110526952726e-16,0.0,0.0,0.0
conf_pci_err_bc_in[3],0,-1,2,9.152110526952726e-16,0.0,0.0,0.0
conf_pci_img_ctrl1_out[0],0,-1,3,1.4127459239347134e-15,0.0,0.0,0.0
conf_pci_init_complete_out,0,-1,6,2.8428541174640087e-15,0.0,0.0,0.0
conf_soft_res_out,0,-1,3,1.479606046109758e-15,0.0,0.0,0.0
conf_w_addr_in[2],0,-1,2,1.8519401303825934e-15,0.0,0.0,0.0
conf_w_addr_in[3],0,-1,4,2.2302100097915502e-15,0.0,0.0,0.0
conf_w_addr_in[4],0,-1,3,1.8020769948436273e-15,0.0,0.0,0.0
conf_w_addr_in[5],0,-1,2,1.647475906036062e-15,0.0,0.0,0.0
conf_w_addr_in[6],0,-1,2,1.6566519198327862e-15,0.0,0.0,0.0
conf_w_addr_in[7],0,-1,4,2.0663118873549217e-15,0.0,0.0,0.0
conf_w_addr_in[8],0,-1,2,1.7338539966564506e-15,0.0,0.0,0.0
conf_w_addr_in[9],0,-1,1,1.2861600263411105e-15,0.0,0.0,0.0
conf_wb_am1_out[19],0,-1,4,1.8493571034099415e-15,0.0,0.0,0.0
conf_wb_am2_out[19],0,-1,4,1.979071940710702e-15,0.0,0.0,0.0
conf_wb_ba1_out[19],0,-1,3,1.8648700883224303e-15,0.0,0.0,0.0
conf_wb_ba2_out[19],0,-1,3,1.9755410838700723e-15,0.0,0.0,0.0
conf_wb_err_addr_in[10],0,-1,5,2.12314483350037e-15,0.0,0.0,0.0
conf_wb_err_addr_in[11],0,-1,5,2.743819025271036e-15,0.0,0.0,0.0
conf_wb_err_addr_in[12],0,-1,6,3.2910950593050383e-15,0.0,0.0,0.0
conf_wb_err_addr_in[13],0,-1,5,2.7314360388568885e-15,0.0,0.0,0.0
conf_wb_err_addr_in[14],0,-1,6,3.3103311775371834e-15,0.0,0.0,0.0
conf_wb_err_addr_in[15],0,-1,5,2.7108671142822387e-15,0.0,0.0,0.0
conf_wb_err_addr_in[16],0,-1,6,3.3176050729717297e-15,0.0,0.0,0.0
conf_wb_err_addr_in[17],0,-1,5,3.0035261031627824e-15,0.0,0.0,0.0
conf_wb_err_addr_in[18],0,-1,5,2.6272920674425514e-15,0.0,0.0,0.0
conf_wb_err_addr_in[19],0,-1,5,2.8052090086727122e-15,0.0,0.0,0.0
conf_wb_err_addr_in[20],0,-1,6,3.3402621455195982e-15,0.0,0.0,0.0
conf_wb_err_addr_in[21],0,-1,5,2.808560082770287e-15,0.0,0.0,0.0
conf_wb_err_addr_in[22],0,-1,6,3.3620571502853986e-15,0.0,0.0,0.0
conf_wb_err_addr_in[23],0,-1,5,2.7549500969891415e-15,0.0,0.0,0.0
conf_wb_err_addr_in[24],0,-1,6,3.3585220582800328e-15,0.0,0.0,0.0
conf_wb_err_addr_in[25],0,-1,5,2.8359160705930487e-15,0.0,0.0,0.0
conf_wb_err_addr_in[26],0,-1,6,3.4243200011392205e-15,0.0,0.0,0.0
conf_wb_err_addr_in[27],0,-1,5,2.796705009640516e-15,0.0,0.0,0.0
conf_wb_err_addr_in[28],0,-1,6,3.4054150727894517e-15,0.0,0.0,0.0
conf_wb_err_addr_in[29],0,-1,5,2.8669610986593397e-15,0.0,0.0,0.0
conf_wb_err_addr_in[2],0,-1,6,3.2162179820424686e-15,0.0,0.0,0.0
conf_wb_err_addr_in[30],0,-1,5,2.8709360125225673e-15,0.0,0.0,0.0
conf_wb_err_addr_in[31],0,-1,4,2.3458569003878375e-15,0.0,0.0,0.0
conf_wb_err_addr_in[3],0,-1,5,2.8254581783097735e-15,0.0,0.0,0.0
conf_wb_err_addr_in[4],0,-1,6,3.1613899628831713e-15,0.0,0.0,0.0
conf_wb_err_addr_in[5],0,-1,5,2.7652150775186795e-15,0.0,0.0,0.0
conf_wb_err_addr_in[6],0,-1,6,3.098109825459697e-15,0.0,0.0,0.0
conf_wb_err_addr_in[7],0,-1,5,2.7108832079082365e-15,0.0,0.0,0.0
conf_wb_err_addr_in[8],0,-1,6,3.288988064848743e-15,0.0,0.0,0.0
conf_wb_err_addr_in[9],0,-1,5,2.7188389648653225e-15,0.0,0.0,0.0
conf_wb_err_bc_in[1],0,-1,5,2.39297099049649e-15,0.0,0.0,0.0
conf_wb_err_bc_in[2],0,-1,5,2.6614160602721117e-15,0.0,0.0,0.0
conf_wb_err_bc_in[3],0,-1,6,2.6092269722599853e-15,0.0,0.0,0.0
conf_wb_err_data_in[10],0,-1,3,1.9744149535666977e-15,0.0,0.0,0.0
conf_wb_err_data_in[11],0,-1,3,1.899013986426251e-15,0.0,0.0,0.0
