src,tar,src_type,tar_type,is_net,arc_delay
drc_buf_sp150613/A,drc_buf_sp150613/Y,pin,pin,0,2.8728111903242315e-11
drc_buf_sp150614/A,drc_buf_sp150614/Y,pin,pin,0,2.8550479688749242e-11
drc_buf_sp150714/A,drc_buf_sp150714/Y,pin,pin,0,2.2791579387670957e-11
drc_buf_sp150765/A,drc_buf_sp150765/Y,pin,pin,0,2.1775158065562294e-11
drc_bufs10/A,drc_bufs10/Y,pin,pin,0,1.900979894331467e-11
drc_bufs124298/A,drc_bufs124298/Y,pin,pin,0,7.863550782749584e-11
drc_bufs124299/A,drc_bufs124299/Y,pin,pin,0,5.857434676181938e-11
drc_bufs144164/A,drc_bufs144164/Y,pin,pin,0,3.111321963955582e-11
drc_bufs144165/A,drc_bufs144165/Y,pin,pin,0,2.7051288292723186e-11
drc_bufs144166/A,drc_bufs144166/Y,pin,pin,0,2.1357467877569647e-11
drc_bufs144167/A,drc_bufs144167/Y,pin,pin,0,1.403670235600174e-11
drc_bufs144176/A,drc_bufs144176/Y,pin,pin,0,4.549197130110372e-11
drc_bufs144177/A,drc_bufs144177/Y,pin,pin,0,3.5538565146264744e-11
drc_bufs144179/A,drc_bufs144179/Y,pin,pin,0,4.2630281249511626e-11
drc_bufs144232/A,drc_bufs144232/Y,pin,pin,0,3.758964320366154e-11
drc_bufs144233/A,drc_bufs144233/Y,pin,pin,0,4.1852552673526944e-11
drc_bufs144271/A,drc_bufs144271/Y,pin,pin,0,2.553282238415555e-11
drc_bufs144272/A,drc_bufs144272/Y,pin,pin,0,2.6268013805785806e-11
drc_bufs144392/A,drc_bufs144392/Y,pin,pin,0,3.862708070068166e-11
drc_bufs144393/A,drc_bufs144393/Y,pin,pin,0,3.862708070068166e-11
drc_bufs144394/A,drc_bufs144394/Y,pin,pin,0,1.778958751141868e-11
drc_bufs144406/A,drc_bufs144406/Y,pin,pin,0,2.9020279235236757e-11
drc_bufs144407/A,drc_bufs144407/Y,pin,pin,0,3.307723192569334e-11
drc_bufs144413/A,drc_bufs144413/Y,pin,pin,0,4.093621275291781e-11
drc_bufs144414/A,drc_bufs144414/Y,pin,pin,0,3.920589894401694e-11
drc_bufs144420/A,drc_bufs144420/Y,pin,pin,0,3.1574111380994196e-11
drc_bufs144421/A,drc_bufs144421/Y,pin,pin,0,3.1574111380994196e-11
drc_bufs144427/A,drc_bufs144427/Y,pin,pin,0,3.43192384233415e-11
drc_bufs144428/A,drc_bufs144428/Y,pin,pin,0,3.38182433445855e-11
drc_bufs144429/A,drc_bufs144429/Y,pin,pin,0,1.4548797930280521e-11
drc_bufs144434/A,drc_bufs144434/Y,pin,pin,0,3.450622426681704e-11
drc_bufs144435/A,drc_bufs144435/Y,pin,pin,0,2.52019221463895e-11
drc_bufs144436/A,drc_bufs144436/Y,pin,pin,0,1.4915631230127957e-11
drc_bufs144471/A,drc_bufs144471/Y,pin,pin,0,2.5228772196350668e-11
drc_bufs144472/A,drc_bufs144472/Y,pin,pin,0,2.374324521714488e-11
drc_bufs144473/A,drc_bufs144473/Y,pin,pin,0,8.756746196214582e-12
drc_bufs144479/A,drc_bufs144479/Y,pin,pin,0,2.400580949302178e-11
drc_bufs144480/A,drc_bufs144480/Y,pin,pin,0,8.56634208012963e-12
drc_bufs144514/A,drc_bufs144514/Y,pin,pin,0,3.3400313764753164e-11
drc_bufs144670/A,drc_bufs144670/Y,pin,pin,0,1.3641079585346993e-11
drc_bufs144671/A,drc_bufs144671/Y,pin,pin,0,1.0386524973426958e-11
drc_bufs144677/A,drc_bufs144677/Y,pin,pin,0,2.364237104701683e-11
drc_bufs144678/A,drc_bufs144678/Y,pin,pin,0,2.4736995438146003e-11
drc_bufs144685_dup/A,drc_bufs144685_dup/Y,pin,pin,0,1.830247238487903e-11
drc_bufs144720/A,drc_bufs144720/Y,pin,pin,0,2.7353322731848984e-11
drc_bufs144736/A,drc_bufs144736/Y,pin,pin,0,2.0900675287705006e-11
drc_bufs144737/A,drc_bufs144737/Y,pin,pin,0,2.0900675287705006e-11
drc_bufs144745/A,drc_bufs144745/Y,pin,pin,0,2.714619848354083e-11
drc_bufs144769/A,drc_bufs144769/Y,pin,pin,0,2.371936327905111e-11
drc_bufs144770/A,drc_bufs144770/Y,pin,pin,0,2.371936327905111e-11
drc_bufs144802/A,drc_bufs144802/Y,pin,pin,0,3.5373974582864065e-11
drc_bufs144803/A,drc_bufs144803/Y,pin,pin,0,3.541625326342057e-11
drc_bufs144820/A,drc_bufs144820/Y,pin,pin,0,3.490397207372986e-11
drc_bufs144838/A,drc_bufs144838/Y,pin,pin,0,3.6487719096145455e-11
drc_bufs144845/A,drc_bufs144845/Y,pin,pin,0,2.9036599513698746e-11
drc_bufs144852/A,drc_bufs144852/Y,pin,pin,0,2.185793386566548e-11
drc_bufs144867/A,drc_bufs144867/Y,pin,pin,0,1.7689237227780374e-11
drc_bufs144874/A,drc_bufs144874/Y,pin,pin,0,2.8513844063660088e-11
drc_bufs144881/A,drc_bufs144881/Y,pin,pin,0,2.9061026154963976e-11
