pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
configuration_cache_line_size_reg_reg\[0\]/CLK,94,178,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[0\],pci_clk_i,9.999999960041972e-12,4.829509014925293e-10,0.0,2.999999970665357e-10,4.628990058119428e-16
configuration_cache_line_size_reg_reg\[0\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[0\],n_2965,2.7777167718734397e-11,3.997151498680296e-10,1.7531280593896525e-10,1.8523127476299805e-10,5.616789822691145e-16
configuration_cache_line_size_reg_reg\[0\]/QN,1366,135,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[0\],configuration_cache_line_size_reg[0],2.6396565488973067e-11,4.829509014925293e-10,5.8200534669428095e-11,5.992253915287904e-11,-1
configuration_cache_line_size_reg_reg\[0\]/SETN,824,178,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[0\],pci_rst_i,9.999999960041972e-12,1.0000000150474662e+30,1.9999999920083944e-11,1.9999999920083944e-11,1.0794500000140526e-15
configuration_cache_line_size_reg_reg\[1\]/CLK,94,178,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[1\],pci_clk_i,9.999999960041972e-12,4.944027409692353e-10,0.0,2.999999970665357e-10,4.764970080493674e-16
configuration_cache_line_size_reg_reg\[1\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[1\],n_2962,3.418001645605351e-11,3.9919012539968435e-10,1.8012158431446323e-10,1.8886478492241565e-10,5.934590231753854e-16
configuration_cache_line_size_reg_reg\[1\]/QN,1366,135,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[1\],configuration_cache_line_size_reg[1],2.1368734906546116e-11,4.944027409692353e-10,4.521378063615522e-11,4.449542123641237e-11,-1
configuration_cache_line_size_reg_reg\[1\]/SETN,824,178,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[1\],pci_rst_i,9.999999960041972e-12,1.0000000150474662e+30,1.9999999920083944e-11,1.9999999920083944e-11,1.117340007206224e-15
configuration_cache_line_size_reg_reg\[2\]/CLK,94,178,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[2\],pci_clk_i,9.999999960041972e-12,4.6361556260698933e-10,0.0,2.999999970665357e-10,4.628990058119428e-16
configuration_cache_line_size_reg_reg\[2\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[2\],n_2922,2.932400156030468e-11,3.987696839402588e-10,1.7656014150713162e-10,1.8653405209345664e-10,5.616789822691145e-16
configuration_cache_line_size_reg_reg\[2\]/QN,1366,135,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[2\],wbu_cache_line_size_in[2],3.51241674634295e-11,4.6361556260698933e-10,6.397232049648593e-11,6.599489704717243e-11,-1
configuration_cache_line_size_reg_reg\[2\]/SETN,824,178,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[2\],pci_rst_i,9.999999960041972e-12,1.0000000150474662e+30,1.9999999920083944e-11,1.9999999920083944e-11,1.0794500000140526e-15
configuration_cache_line_size_reg_reg\[3\]/CLK,94,178,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[3\],pci_clk_i,9.999999960041972e-12,4.786202545403739e-10,0.0,2.999999970665357e-10,4.764970080493674e-16
configuration_cache_line_size_reg_reg\[3\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[3\],n_2923,2.8157162365594068e-11,4.006445175619433e-10,1.8012158431446323e-10,1.8886478492241565e-10,5.934590231753854e-16
configuration_cache_line_size_reg_reg\[3\]/QN,1366,135,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[3\],wbu_cache_line_size_in[3],2.2983386027686237e-11,4.786202545403739e-10,4.624531313446312e-11,4.5616035254658627e-11,-1
configuration_cache_line_size_reg_reg\[3\]/SETN,824,178,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[3\],pci_rst_i,9.999999960041972e-12,1.0000000150474662e+30,1.9999999920083944e-11,1.9999999920083944e-11,1.117340007206224e-15
configuration_cache_line_size_reg_reg\[4\]/CLK,94,178,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[4\],pci_clk_i,9.999999960041972e-12,4.1009723394935804e-10,0.0,2.999999970665357e-10,4.764970080493674e-16
configuration_cache_line_size_reg_reg\[4\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[4\],n_2924,2.828371738206048e-11,4.006139864287661e-10,1.8012158431446323e-10,1.8886478492241565e-10,5.934590231753854e-16
configuration_cache_line_size_reg_reg\[4\]/QN,1366,135,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[4\],wbu_cache_line_size_in[4],1.90969618590886e-11,4.1009723394935804e-10,4.372550932441044e-11,4.276854564944088e-11,-1
configuration_cache_line_size_reg_reg\[4\]/SETN,824,178,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[4\],pci_rst_i,9.999999960041972e-12,1.0000000150474662e+30,1.9999999920083944e-11,1.9999999920083944e-11,1.117340007206224e-15
configuration_cache_line_size_reg_reg\[5\]/CLK,94,178,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[5\],pci_clk_i,9.999999960041972e-12,4.119097007926342e-10,0.0,2.999999970665357e-10,4.764970080493674e-16
configuration_cache_line_size_reg_reg\[5\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[5\],n_2926,2.8571809848609853e-11,4.0054443095627335e-10,1.8012158431446323e-10,1.8886478492241565e-10,5.934590231753854e-16
configuration_cache_line_size_reg_reg\[5\]/QN,1366,135,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[5\],wbu_cache_line_size_in[5],1.918293128511106e-11,4.119097007926342e-10,4.37818288567815e-11,4.280639037679279e-11,-1
configuration_cache_line_size_reg_reg\[5\]/SETN,824,178,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[5\],pci_rst_i,9.999999960041972e-12,1.0000000150474662e+30,1.9999999920083944e-11,1.9999999920083944e-11,1.117340007206224e-15
configuration_cache_line_size_reg_reg\[6\]/CLK,94,178,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[6\],pci_clk_i,9.999999960041972e-12,4.0813522006466485e-10,0.0,2.999999970665357e-10,4.764970080493674e-16
configuration_cache_line_size_reg_reg\[6\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[6\],n_2963,2.9126548395375096e-11,4.004104270372011e-10,1.8012158431446323e-10,1.8886478492241565e-10,5.934590231753854e-16
configuration_cache_line_size_reg_reg\[6\]/QN,1366,135,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[6\],wbu_cache_line_size_in[6],2.0404960707209874e-11,4.0813522006466485e-10,4.4582396802050894e-11,4.3721699871657194e-11,-1
configuration_cache_line_size_reg_reg\[6\]/SETN,824,178,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[6\],pci_rst_i,9.999999960041972e-12,1.0000000150474662e+30,1.9999999920083944e-11,1.9999999920083944e-11,1.117340007206224e-15
configuration_cache_line_size_reg_reg\[7\]/CLK,94,178,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[7\],pci_clk_i,9.999999960041972e-12,4.1053913046873447e-10,0.0,2.999999970665357e-10,4.764970080493674e-16
configuration_cache_line_size_reg_reg\[7\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[7\],n_2964,2.8157162365594068e-11,4.006445175619433e-10,1.8012158431446323e-10,1.8886478492241565e-10,5.934590231753854e-16
configuration_cache_line_size_reg_reg\[7\]/QN,1366,135,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[7\],wbu_cache_line_size_in[7],2.001383433980486e-11,4.1053913046873447e-10,4.432616426686131e-11,4.3380549152871595e-11,-1
configuration_cache_line_size_reg_reg\[7\]/SETN,824,178,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[7\],pci_rst_i,9.999999960041972e-12,1.0000000150474662e+30,1.9999999920083944e-11,1.9999999920083944e-11,1.117340007206224e-15
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\]/CLK,94,178,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\],pci_clk_i,9.999999960041972e-12,5.071443265336484e-10,0.0,2.999999970665357e-10,4.628990058119428e-16
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\],n_5749,2.459006782917772e-11,4.871025804931151e-10,8.730341449769696e-11,8.255848782390274e-11,5.616789822691145e-16
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\]/QN,1366,135,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\],configuration_meta_cache_lsize_to_wb_bits[2],1.4522045892195745e-11,5.071443265336484e-10,4.981135295900607e-11,5.0428453080009206e-11,-1
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\]/SETN,824,178,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\],pci_rst_i,9.999999960041972e-12,1.0000000150474662e+30,1.9999999920083944e-11,1.9999999920083944e-11,1.0794500000140526e-15
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\]/CLK,94,178,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\],pci_clk_i,9.999999960041972e-12,5.071443265336484e-10,0.0,2.999999970665357e-10,4.628990058119428e-16
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\],n_744,3.388533897918933e-11,5.061117636095958e-10,7.010825253672692e-11,6.739228619601079e-11,5.616789822691145e-16
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\]/QN,1366,135,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\],configuration_meta_cache_lsize_to_wb_bits[3],1.4522045892195745e-11,5.071443265336484e-10,4.981135295900607e-11,5.0428453080009206e-11,-1
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\]/SETN,824,178,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\],pci_rst_i,9.999999960041972e-12,1.0000000150474662e+30,1.9999999920083944e-11,1.9999999920083944e-11,1.0794500000140526e-15
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[2\]/CLK,94,178,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[2\],pci_clk_i,9.999999960041972e-12,5.071443265336484e-10,0.0,2.999999970665357e-10,4.628990058119428e-16
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[2\]/D,252,135,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[2\],n_5760,2.8834268306354716e-11,5.112859580158613e-10,6.394833967915403e-11,6.188684287256052e-11,5.616789822691145e-16
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[2\]/QN,1366,135,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[2\],configuration_meta_cache_lsize_to_wb_bits[4],1.4522045892195745e-11,5.071443265336484e-10,4.981135295900607e-11,5.0428453080009206e-11,-1
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[2\]/SETN,824,178,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[2\],pci_rst_i,9.999999960041972e-12,1.0000000150474662e+30,1.9999999920083944e-11,1.9999999920083944e-11,1.0794500000140526e-15
