src,tar,src_type,tar_type
pci_clk_i,configuration_cache_line_size_reg_reg\[0\],net,cell
n_2965,configuration_cache_line_size_reg_reg\[0\],net,cell
configuration_cache_line_size_reg_reg\[0\],configuration_cache_line_size_reg[0],cell,net
pci_rst_i,configuration_cache_line_size_reg_reg\[0\],net,cell
pci_clk_i,configuration_cache_line_size_reg_reg\[1\],net,cell
n_2962,configuration_cache_line_size_reg_reg\[1\],net,cell
configuration_cache_line_size_reg_reg\[1\],configuration_cache_line_size_reg[1],cell,net
pci_rst_i,configuration_cache_line_size_reg_reg\[1\],net,cell
pci_clk_i,configuration_cache_line_size_reg_reg\[2\],net,cell
n_2922,configuration_cache_line_size_reg_reg\[2\],net,cell
configuration_cache_line_size_reg_reg\[2\],wbu_cache_line_size_in[2],cell,net
pci_rst_i,configuration_cache_line_size_reg_reg\[2\],net,cell
pci_clk_i,configuration_cache_line_size_reg_reg\[3\],net,cell
n_2923,configuration_cache_line_size_reg_reg\[3\],net,cell
configuration_cache_line_size_reg_reg\[3\],wbu_cache_line_size_in[3],cell,net
pci_rst_i,configuration_cache_line_size_reg_reg\[3\],net,cell
pci_clk_i,configuration_cache_line_size_reg_reg\[4\],net,cell
n_2924,configuration_cache_line_size_reg_reg\[4\],net,cell
configuration_cache_line_size_reg_reg\[4\],wbu_cache_line_size_in[4],cell,net
pci_rst_i,configuration_cache_line_size_reg_reg\[4\],net,cell
pci_clk_i,configuration_cache_line_size_reg_reg\[5\],net,cell
n_2926,configuration_cache_line_size_reg_reg\[5\],net,cell
configuration_cache_line_size_reg_reg\[5\],wbu_cache_line_size_in[5],cell,net
pci_rst_i,configuration_cache_line_size_reg_reg\[5\],net,cell
pci_clk_i,configuration_cache_line_size_reg_reg\[6\],net,cell
n_2963,configuration_cache_line_size_reg_reg\[6\],net,cell
configuration_cache_line_size_reg_reg\[6\],wbu_cache_line_size_in[6],cell,net
pci_rst_i,configuration_cache_line_size_reg_reg\[6\],net,cell
pci_clk_i,configuration_cache_line_size_reg_reg\[7\],net,cell
n_2964,configuration_cache_line_size_reg_reg\[7\],net,cell
configuration_cache_line_size_reg_reg\[7\],wbu_cache_line_size_in[7],cell,net
pci_rst_i,configuration_cache_line_size_reg_reg\[7\],net,cell
pci_clk_i,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\],net,cell
n_5749,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\],net,cell
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\],configuration_meta_cache_lsize_to_wb_bits[2],cell,net
pci_rst_i,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\],net,cell
pci_clk_i,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\],net,cell
n_744,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\],net,cell
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\],configuration_meta_cache_lsize_to_wb_bits[3],cell,net
pci_rst_i,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\],net,cell
pci_clk_i,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[2\],net,cell
n_5760,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[2\],net,cell
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[2\],configuration_meta_cache_lsize_to_wb_bits[4],cell,net
pci_rst_i,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[2\],net,cell
pci_clk_i,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[3\],net,cell
n_5662,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[3\],net,cell
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[3\],configuration_meta_cache_lsize_to_wb_bits[5],cell,net
pci_rst_i,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[3\],net,cell
pci_clk_i,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[4\],net,cell
n_5661,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[4\],net,cell
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[4\],configuration_meta_cache_lsize_to_wb_bits[6],cell,net
pci_rst_i,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[4\],net,cell
pci_clk_i,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[5\],net,cell
n_5754,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[5\],net,cell
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[5\],configuration_meta_cache_lsize_to_wb_bits[7],cell,net
pci_rst_i,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[5\],net,cell
pci_clk_i,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[6\],net,cell
n_6149,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[6\],net,cell
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[6\],configuration_meta_cache_lsize_to_wb_bits[8],cell,net
pci_rst_i,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[6\],net,cell
pci_clk_i,configuration_command_bit2_0_reg\[0\],net,cell
n_2695,configuration_command_bit2_0_reg\[0\],net,cell
configuration_command_bit2_0_reg\[0\],configuration_command_bit2_0[0],cell,net
pci_rst_i,configuration_command_bit2_0_reg\[0\],net,cell
pci_clk_i,configuration_command_bit2_0_reg\[1\],net,cell
n_2692,configuration_command_bit2_0_reg\[1\],net,cell
