cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
configuration_cache_line_size_reg_reg\[0\],1,0,1,29736,21798,31140,22068,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.980061369977193e-06
configuration_cache_line_size_reg_reg\[1\],1,0,1,29736,20718,31140,20988,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,5.570984285441227e-06
configuration_cache_line_size_reg_reg\[2\],1,0,1,29358,21258,30762,21528,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.980050001293421e-06
configuration_cache_line_size_reg_reg\[3\],1,0,1,29574,20178,30978,20448,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,5.574909664574079e-06
configuration_cache_line_size_reg_reg\[4\],1,0,1,30438,19368,31842,19638,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,5.573866019403795e-06
configuration_cache_line_size_reg_reg\[5\],1,0,1,30600,19638,32004,19908,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,5.573865564656444e-06
configuration_cache_line_size_reg_reg\[6\],1,0,1,29250,19098,30654,19368,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,5.5749005696270615e-06
configuration_cache_line_size_reg_reg\[7\],1,0,1,29466,18828,30870,19098,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,5.574926490226062e-06
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\],1,0,1,28872,42048,30276,42318,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.5967641502356855e-06
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\],1,0,1,29628,17208,31032,17478,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.9808173874480417e-06
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[2\],1,0,1,30330,18018,31734,18288,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.9807059743470745e-06
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[3\],1,0,1,30600,18558,32004,18828,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.9805247575277463e-06
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[4\],1,0,1,29844,17748,31248,18018,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.980741672014119e-06
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[5\],1,0,1,29790,17478,31194,17748,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.9808089746220503e-06
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[6\],1,0,1,30060,20988,31464,21258,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.413782424464216e-10,2.3042925931804348e-06
configuration_command_bit2_0_reg\[0\],1,0,1,32328,31788,33732,32058,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386501629408798e-10,1.8075896832669969e-06
configuration_command_bit2_0_reg\[1\],1,0,1,31842,32598,33246,32868,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386501629408798e-10,1.8074825902658631e-06
configuration_command_bit2_0_reg\[2\],1,0,1,31248,32058,32652,32328,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386501629408798e-10,1.8075488696922548e-06
configuration_command_bit6_reg,1,0,1,32112,31248,33516,31518,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386501629408798e-10,1.8076275409839582e-06
configuration_command_bit8_reg,1,0,1,32598,30708,34002,30978,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386501629408798e-10,1.8075991192745278e-06
configuration_command_bit_sync_sync_data_out_reg\[0\],1,0,1,19260,29358,20664,29628,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386501629408798e-10,2.341070512557053e-06
configuration_i_wb_init_complete_sync_sync_data_out_reg\[0\],1,0,1,13698,29088,15102,29358,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,2.2893250388733577e-06
configuration_icr_bit2_0_reg\[0\],1,0,1,28494,24228,29898,24498,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616549582844527e-08,1.0335304068576079e-05
configuration_icr_bit2_0_reg\[1\],1,0,1,29034,24498,30438,24768,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616549582844527e-08,1.0335965271224268e-05
configuration_icr_bit2_0_reg\[2\],1,0,1,28872,25038,30276,25308,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616549582844527e-08,1.0337877938582096e-05
configuration_icr_bit31_reg,1,0,1,27900,27198,29304,27468,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.720726913845283e-06
configuration_init_complete_reg,1,0,1,24552,33678,25956,33948,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616549582844527e-08,1.4395262951438781e-05
configuration_int_pin_sync_sync_data_out_reg\[0\],1,0,1,26442,24498,27846,24768,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,1.723467562442238e-06
configuration_interrupt_line_reg\[0\],1,0,1,31410,22338,32814,22608,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616546030130849e-08,1.3533244782593101e-05
configuration_interrupt_line_reg\[1\],1,0,1,30870,20448,32274,20718,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616546030130849e-08,1.3559302715293597e-05
configuration_interrupt_line_reg\[2\],1,0,1,30654,22608,32058,22878,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616546030130849e-08,1.3568933354690671e-05
configuration_interrupt_line_reg\[3\],1,0,1,33354,19638,34758,19908,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616546030130849e-08,1.353706102236174e-05
configuration_interrupt_line_reg\[4\],1,0,1,31086,19098,32490,19368,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616546030130849e-08,1.3572047464549541e-05
configuration_interrupt_line_reg\[5\],1,0,1,33300,19368,34704,19638,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616546030130849e-08,1.3537115592043847e-05
configuration_interrupt_line_reg\[6\],1,0,1,32598,19098,34002,19368,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616546030130849e-08,1.3539014616981149e-05
configuration_interrupt_line_reg\[7\],1,0,1,31950,18828,33354,19098,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616546030130849e-08,1.3539391147787683e-05
configuration_interrupt_out_reg,1,0,1,23904,30438,25308,30708,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3386500241630017e-10,2.263639771626913e-06
configuration_isr_bit0_sync_sync_data_out_reg\[0\],1,0,1,26604,23418,28008,23688,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3997432379841968e-10,2.264842123622657e-06
configuration_isr_bit2_0_reg\[0\],1,0,1,27684,23688,29088,23958,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.3997432379841968e-10,2.2683168481307803e-06
configuration_isr_bit2_0_reg\[1\],1,0,1,29628,24768,31032,25038,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616549582844527e-08,1.0338600986870006e-05
configuration_isr_bit2_0_reg\[2\],1,0,1,27900,23958,29304,24228,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.413782424464216e-10,5.0379676395095885e-06
configuration_isr_bit2_sync_sync_data_out_reg\[0\],1,0,1,26820,24228,28224,24498,0,0,0,DFFASRHQNx1_ASAP7_75t_R,1.413782424464216e-10,4.888975126959849e-06
configuration_latency_timer_reg\[0\],1,0,1,32544,29088,33948,29358,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,4.898497991234763e-06
configuration_latency_timer_reg\[1\],1,0,1,33678,28548,35082,28818,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616551359201367e-08,1.1732294296962209e-05
configuration_latency_timer_reg\[2\],1,0,1,34326,27738,35730,28008,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,4.897623966826359e-06
configuration_latency_timer_reg\[3\],1,0,1,34326,27468,35730,27738,0,0,0,DFFASRHQNx1_ASAP7_75t_L,1.2489350664779408e-09,4.897648523183307e-06
configuration_latency_timer_reg\[4\],1,0,1,34218,28278,35622,28548,0,0,0,DFFASRHQNx1_ASAP7_75t_SL,1.2616551359201367e-08,1.1733511200873181e-05
