src,tar,src_type,tar_type,is_net,arc_delay
drc_buf_sp150613/A,drc_buf_sp150613/Y,pin,pin,0,3.6960646349060156e-11
drc_buf_sp150614/A,drc_buf_sp150614/Y,pin,pin,0,3.7018058757221084e-11
drc_buf_sp150714/A,drc_buf_sp150714/Y,pin,pin,0,2.8801435195124903e-11
drc_buf_sp150765/A,drc_buf_sp150765/Y,pin,pin,0,2.863001155595235e-11
drc_bufs10/A,drc_bufs10/Y,pin,pin,0,2.6137944239557065e-11
drc_bufs124298/A,drc_bufs124298/Y,pin,pin,0,1.2117265524302923e-10
drc_bufs124299/A,drc_bufs124299/Y,pin,pin,0,9.545506052255348e-11
drc_bufs144164/A,drc_bufs144164/Y,pin,pin,0,5.2938167738325603e-11
drc_bufs144165/A,drc_bufs144165/Y,pin,pin,0,4.329387542911789e-11
drc_bufs144166/A,drc_bufs144166/Y,pin,pin,0,3.2313915432347073e-11
drc_bufs144167/A,drc_bufs144167/Y,pin,pin,0,1.991346323948484e-11
drc_bufs144176/A,drc_bufs144176/Y,pin,pin,0,7.313341598980116e-11
drc_bufs144177/A,drc_bufs144177/Y,pin,pin,0,6.854852796500666e-11
drc_bufs144179/A,drc_bufs144179/Y,pin,pin,0,8.536521489688198e-11
drc_bufs144232/A,drc_bufs144232/Y,pin,pin,0,5.749423159784328e-11
drc_bufs144233/A,drc_bufs144233/Y,pin,pin,0,6.273060543238174e-11
drc_bufs144271/A,drc_bufs144271/Y,pin,pin,0,3.789494759653955e-11
drc_bufs144272/A,drc_bufs144272/Y,pin,pin,0,3.798487566153419e-11
drc_bufs144392/A,drc_bufs144392/Y,pin,pin,0,5.506406788868823e-11
drc_bufs144393/A,drc_bufs144393/Y,pin,pin,0,5.699004462789148e-11
drc_bufs144394/A,drc_bufs144394/Y,pin,pin,0,2.2065377303093214e-11
drc_bufs144406/A,drc_bufs144406/Y,pin,pin,0,3.741285753422474e-11
