pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
configuration_cache_line_size_reg_reg\[0\]/CLK,29830,21976,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[0\],pci_clk_i,1.5138443831830273e-09,1.9170504073073857e-10,4.744101222975416e-10,7.745180052864953e-10,4.628990058119428e-16
configuration_cache_line_size_reg_reg\[0\]/D,29988,21933,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[0\],n_2965,3.8822264847304666e-11,2.6705820888039966e-10,7.584163852492054e-10,7.6807693538683e-10,5.616789822691145e-16
configuration_cache_line_size_reg_reg\[0\]/QN,31102,21933,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[0\],configuration_cache_line_size_reg[0],3.281117738618278e-11,1.9170498521958734e-10,6.827231002759504e-10,6.946641040173063e-10,-1
configuration_cache_line_size_reg_reg\[0\]/SETN,30560,21976,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[0\],pci_rst_i,2.0601529371333527e-09,1.0000000150474662e+30,6.667513208213904e-10,6.674332198031152e-10,1.0794500000140526e-15
configuration_cache_line_size_reg_reg\[1\]/CLK,29830,20896,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[1\],pci_clk_i,1.5134664632654449e-09,2.891253902959079e-10,4.742909398558481e-10,7.743989893782555e-10,4.764970080493674e-16
configuration_cache_line_size_reg_reg\[1\]/D,29988,20853,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[1\],n_2962,4.6974646394915e-11,2.1919943637982442e-10,7.633744747437277e-10,7.72357344747121e-10,5.934590231753854e-16
configuration_cache_line_size_reg_reg\[1\]/QN,31102,20853,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[1\],configuration_cache_line_size_reg[1],2.5242967438554587e-11,2.891253902959079e-10,5.861236496151889e-10,5.927036084152348e-10,-1
configuration_cache_line_size_reg_reg\[1\]/SETN,30560,20896,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[1\],pci_rst_i,2.0328954075665706e-09,1.0000000150474662e+30,6.581525324733661e-10,6.588257162043476e-10,1.117340007206224e-15
configuration_cache_line_size_reg_reg\[2\]/CLK,29452,21436,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[2\],pci_clk_i,1.5137900932771231e-09,7.960426762210204e-11,4.743929693518112e-10,7.745009078519161e-10,4.628990058119428e-16
configuration_cache_line_size_reg_reg\[2\]/D,29610,21393,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[2\],n_2922,4.253172120050053e-11,2.643177343664149e-10,7.607731666858797e-10,7.703438997808121e-10,5.616789822691145e-16
configuration_cache_line_size_reg_reg\[2\]/QN,30724,21393,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[2\],wbu_cache_line_size_in[2],5.115930248877909e-11,7.960426762210204e-11,6.932136531467847e-10,7.04949987273551e-10,-1
configuration_cache_line_size_reg_reg\[2\]/SETN,30182,21436,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[2\],pci_rst_i,2.0571531145208155e-09,1.0000000150474662e+30,6.658049667152e-10,6.664857554739001e-10,1.0794500000140526e-15
configuration_cache_line_size_reg_reg\[3\]/CLK,29668,20356,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[3\],pci_clk_i,1.5147465504128377e-09,2.9914859478452627e-10,4.746947279699043e-10,7.748024444254042e-10,4.764970080493674e-16
configuration_cache_line_size_reg_reg\[3\]/D,29826,20313,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[3\],n_2923,3.203942319784936e-11,2.1626528345919382e-10,7.628059850439683e-10,7.719249683901808e-10,5.934590231753854e-16
configuration_cache_line_size_reg_reg\[3\]/QN,30940,20313,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[3\],wbu_cache_line_size_in[3],2.729143647184351e-11,2.9914859478452627e-10,5.877466846548884e-10,5.944001957303158e-10,-1
configuration_cache_line_size_reg_reg\[3\]/SETN,30398,20356,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[3\],pci_rst_i,2.0085970664496244e-09,1.0000000150474662e+30,6.504872751555979e-10,6.511527983477094e-10,1.117340007206224e-15
configuration_cache_line_size_reg_reg\[4\]/CLK,30532,19459,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[4\],pci_clk_i,1.514409153635654e-09,3.123001857119334e-10,4.74588313092994e-10,7.746959740373427e-10,4.764970080493674e-16
configuration_cache_line_size_reg_reg\[4\]/D,30690,19503,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[4\],n_2924,4.5229327227946925e-11,2.1827506468952151e-10,7.653214728620128e-10,7.739062168887756e-10,5.934590231753854e-16
configuration_cache_line_size_reg_reg\[4\]/QN,31804,19503,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[4\],wbu_cache_line_size_in[4],2.1465405841691876e-11,3.123001857119334e-10,5.843880934719436e-10,5.908094014017706e-10,-1
configuration_cache_line_size_reg_reg\[4\]/SETN,31262,19459,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[4\],pci_rst_i,1.9131485284873406e-09,1.0000000150474662e+30,6.203766389489829e-10,6.21012297141732e-10,1.117340007206224e-15
configuration_cache_line_size_reg_reg\[5\]/CLK,30694,19816,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[5\],pci_clk_i,1.5144060450111851e-09,3.083522881475176e-10,4.745873138922718e-10,7.746949748366205e-10,4.764970080493674e-16
configuration_cache_line_size_reg_reg\[5\]/D,30852,19773,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[5\],n_2926,4.1761431118780834e-11,2.208932481373438e-10,7.642619315184618e-10,7.730895368318613e-10,5.934590231753854e-16
configuration_cache_line_size_reg_reg\[5\]/QN,31966,19773,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[5\],wbu_cache_line_size_in[5],2.8237655269602868e-11,3.083522881475176e-10,5.880703146665667e-10,5.946669823231332e-10,-1
configuration_cache_line_size_reg_reg\[5\]/SETN,31424,19816,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[5\],pci_rst_i,1.9131223272239595e-09,1.0000000150474662e+30,6.203683122762982e-10,6.210039704690473e-10,1.117340007206224e-15
configuration_cache_line_size_reg_reg\[6\]/CLK,29344,19276,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[6\],pci_clk_i,1.5147446630336958e-09,3.068422183005737e-10,4.74694172858392e-10,7.748018893138919e-10,4.764970080493674e-16
configuration_cache_line_size_reg_reg\[6\]/D,29502,19233,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[6\],n_2963,4.274115783520216e-11,2.202620863478444e-10,7.645389321631058e-10,7.733038653867652e-10,5.934590231753854e-16
configuration_cache_line_size_reg_reg\[6\]/QN,30616,19233,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[6\],wbu_cache_line_size_in[6],2.600300877397821e-11,3.068422183005737e-10,5.869550401271795e-10,5.935069102847024e-10,-1
configuration_cache_line_size_reg_reg\[6\]/SETN,30074,19276,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[6\],pci_rst_i,1.960012152579793e-09,1.0000000150474662e+30,6.351604242560427e-10,6.358106818815656e-10,1.117340007206224e-15
configuration_cache_line_size_reg_reg\[7\]/CLK,29560,18919,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_line_size_reg_reg\[7\],pci_clk_i,1.5147526566394731e-09,3.10838244033107e-10,4.746966708601974e-10,7.748044428268486e-10,4.764970080493674e-16
configuration_cache_line_size_reg_reg\[7\]/D,29718,18963,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_line_size_reg_reg\[7\],n_2964,3.7596457197475175e-11,2.1824259066605123e-10,7.656910105957593e-10,7.741846608233516e-10,5.934590231753854e-16
configuration_cache_line_size_reg_reg\[7\]/QN,30832,18963,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_line_size_reg_reg\[7\],wbu_cache_line_size_in[7],2.5838001876943295e-11,3.10838244033107e-10,5.868642793949164e-10,5.933675772951119e-10,-1
configuration_cache_line_size_reg_reg\[7\]/SETN,30290,18919,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_line_size_reg_reg\[7\],pci_rst_i,1.9599313283436004e-09,1.0000000150474662e+30,6.351349446376275e-10,6.35785091240848e-10,1.117340007206224e-15
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\]/CLK,28966,42139,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\],pci_clk_i,9.368120723607376e-10,3.859985664433907e-10,2.9237667842352266e-10,5.924591373052124e-10,4.628990058119428e-16
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\]/D,29124,42183,0,-1,0,1,0,0.0,3.199999987213431e-10,1,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\],n_5749,1.0018445795179076e-10,7.960426762210204e-11,7.675373114857109e-10,7.483579311795552e-10,5.616789822691145e-16
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\]/QN,30238,42183,0,-1,0,0,1,4.608000179345817e-14,3.999999886872274e-09,0,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\],configuration_meta_cache_lsize_to_wb_bits[2],1.6806342775788075e-11,3.859985386878151e-10,4.397060771044181e-10,4.469327963274594e-10,-1
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\]/SETN,29696,42139,0,-1,0,1,0,0.0,3.199999987213431e-10,1449,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[0\],pci_rst_i,3.512133250893612e-09,1.0000000150474662e+30,1.1248001419161824e-09,1.1259349008696518e-09,1.0794500000140526e-15
configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\]/CLK,29722,17299,1,-1,1,0,0,0.0,3.199999987213431e-10,0,configuration_cache_lsize_to_wb_bits_sync_sync_data_out_reg\[1\],pci_clk_i,1.515017888920056e-09,3.1319030702192663e-10,4.747803261651029e-10,7.748872654644856e-10,4.628990058119428e-16
